anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;GEBA-FERROCARRIL OESTE C;1;8/12/2024;GEBA;97;FERROCARRIL OESTE C;45
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;COPELLO-PINOCHO BLANCO;1;8/12/2024;COPELLO;74;PINOCHO BLANCO;46
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;ESTRELLA DE BOEDO-ARGENTINOS JUNIORS;1;8/12/2024;ESTRELLA DE BOEDO;65;ARGENTINOS JUNIORS;59
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;CIUDAD DE BUENOS AIRES B-VELEZ SARSFIELD AZUL;1;8/12/2024;CIUDAD DE BUENOS AIRES B;72;VELEZ SARSFIELD AZUL;52
2024;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;GEBA-COPELLO;1;15/12/2024;GEBA;67;COPELLO;62
2024;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;CIUDAD DE BUENOS AIRES B-ESTRELLA DE BOEDO;1;15/12/2024;CIUDAD DE BUENOS AIRES B;66;ESTRELLA DE BOEDO;60
2024;JUVENILES;Playoff;FINAL;2;CENTRO;GEBA-CIUDAD DE BUENOS AIRES B;1;22/12/2024;GEBA;74;CIUDAD DE BUENOS AIRES B;51
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;CIRCULO URQUIZA AZUL-CLUB SOCIAL Y DEPORTIVO ARENAL;1;8/12/2024;CIRCULO URQUIZA AZUL;63;CLUB SOCIAL Y DEPORTIVO ARENAL;45
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;COOPERATIVA TORTUGUITAS-YUPANQUI;1;8/12/2024;COOPERATIVA TORTUGUITAS;72;YUPANQUI;58
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;ARMENIA-HEBRAICA;1;8/12/2024;ARMENIA;42;HEBRAICA;70
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;U.V.V.ADELINA-CLUB TRES DE FEBRERO AZUL;1;8/12/2024;U.V.V.ADELINA;76;CLUB TRES DE FEBRERO AZUL;42
2024;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;CIRCULO URQUIZA AZUL-COOPERATIVA TORTUGUITAS;1;15/12/2024;CIRCULO URQUIZA AZUL;51;COOPERATIVA TORTUGUITAS;45
2024;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;U.V.V.ADELINA-HEBRAICA;1;15/12/2024;U.V.V.ADELINA;71;HEBRAICA;66
2024;JUVENILES;Playoff;FINAL;2;CENTRO;CIRCULO URQUIZA AZUL-U.V.V.ADELINA;1;22/12/2024;CIRCULO URQUIZA AZUL;51;U.V.V.ADELINA;48
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;VILLEGAS BASQUET-GUILLON BASQUET;1;8/12/2024;VILLEGAS BASQUET;69;GUILLON BASQUET;40
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-JUVENTUD UNIDA;1;8/12/2024;G.E DE LOMAS DE ZAMORA B;88;JUVENTUD UNIDA;58
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;LUZ Y ARTE-CLUB SOCIAL EZEIZA;1;8/12/2024;LUZ Y ARTE;61;CLUB SOCIAL EZEIZA;69
2024;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;COUNTRY BANFIELD-COLON FC;1;8/12/2024;COUNTRY BANFIELD;66;COLON FC;55
2024;JUVENILES;Playoff;SEMIFINAL;2;SUR;VILLEGAS BASQUET-G.E DE LOMAS DE ZAMORA B;1;15/12/2024;VILLEGAS BASQUET;53;G.E DE LOMAS DE ZAMORA B;61
2024;JUVENILES;Playoff;SEMIFINAL;2;SUR;COUNTRY BANFIELD-CLUB SOCIAL EZEIZA;1;15/12/2024;COUNTRY BANFIELD;77;CLUB SOCIAL EZEIZA;69
2024;JUVENILES;Playoff;FINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-COUNTRY BANFIELD;1;22/12/2024;G.E DE LOMAS DE ZAMORA B;69;COUNTRY BANFIELD;40
