local,visitante,BP_LOCAL,BP_VISITA,peso_anio,peso_nivel,peso_fase,peso_ronda,LocalSuma,VisitaSuma
NAUTICO BUCHARDO A,DEFENSORES DE BANFIELD,700.0,300.0,0.25,1.0,1,6,1050.0,450.0
SAN LORENZO AZUL,RACING CLUB,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
ALL BOYS BLANCO,NAUTICO BUCHARDO A,350.0,650.0,0.25,1.0,1,6,525.0,975.0
DEP. MORON BLANCO,DEFENSORES DE BANFIELD,350.0,650.0,0.25,1.0,1,6,525.0,975.0
SAN LORENZO AZUL,PLATENSE MARRON,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
RACING CLUB,RAMOS MEJIA LTC,650.0,350.0,0.25,1.25,1,6,1218.75,656.25
OBRAS CENTRO,BOCA JUNIORS AZUL,650.0,350.0,0.25,2.0,1,6,1950.0,1050.0
DEFENSORES DE BANFIELD,BOCA JUNIORS AMARILLO,650.0,350.0,0.25,1.25,1,6,1218.75,656.25
DEP. MORON BLANCO,HURACAN DE SAN JUSTO BLANCO,650.0,350.0,0.25,1.25,1,6,1218.75,656.25
UNIVERSIDAD DE BUENOS AIRES,NAUTICO BUCHARDO A,350.0,650.0,0.25,1.25,1,6,656.25,1218.75
FERROCARRIL OESTE B,ALL BOYS BLANCO,350.0,650.0,0.25,1.25,1,6,656.25,1218.75
RACING CLUB,TEMPERLEY,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
CAZA Y PESCA A,PLATENSE MARRON,350.0,650.0,0.25,1.25,1,6,656.25,1218.75
SAN LORENZO AZUL,"DEPORTIVO CROVARA  ""A""",750.0,250.0,0.25,1.25,1,6,1406.25,468.75
RAMOS MEJIA LTC,C.A.S.A PADUA A,650.0,350.0,0.25,1.25,1,6,1218.75,656.25
OBRAS CENTRO,FERROCARRIL OESTE A,750.0,250.0,0.25,2.0,1,6,2250.0,750.0
BOCA JUNIORS AZUL,LANUS A,650.0,350.0,0.25,2.0,1,6,1950.0,1050.0
DEFENSORES DE BANFIELD,OLIMPO,650.0,350.0,0.25,1.0,1,6,975.0,525.0
BOCA JUNIORS AMARILLO,INSTITUTO GLEW,750.0,250.0,0.25,1.0,1,6,1125.0,375.0
DEP. MORON BLANCO,CENTRO ESPAÑOL,700.0,300.0,0.25,1.0,1,6,1050.0,450.0
HURACAN DE SAN JUSTO BLANCO,ARGENTINO DE CASTELAR CENTRO,700.0,300.0,0.25,1.0,1,6,1050.0,450.0
FERROCARRIL OESTE B,COLEGIALES NEGRO,650.0,350.0,0.25,1.0,1,6,975.0,525.0
ALL BOYS BLANCO,ARMENIA,650.0,350.0,0.25,1.0,1,6,975.0,525.0
UNIVERSIDAD DE BUENOS AIRES,CAZA Y PESCA B,750.0,250.0,0.25,1.0,1,6,1125.0,375.0
BANADE,NAUTICO BUCHARDO A,300.0,700.0,0.25,1.0,1,6,450.0,1050.0
ESTUDIANTIL PORTEÑO A,C.A.S.A PADUA A,350.0,650.0,0.25,1.25,1,6,656.25,1218.75
RAMOS MEJIA LTC,ARGENTINO DE CASTELAR NORTE,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
SAN LORENZO AZUL,VELEZ SARSFIELD BLANCO,650.0,350.0,0.25,1.25,1,6,1218.75,656.25
COLEGIALES BLANCO,"DEPORTIVO CROVARA  ""A""",300.0,700.0,0.25,1.25,1,6,562.5,1312.5
PLATENSE MARRON,BANCO NACIÓN,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
CAZA Y PESCA A,NAUTICO HACOAJ BLANCO,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
TEMPERLEY,TRISTAN SUAREZ,750.0,250.0,0.25,1.25,1,6,1406.25,468.75
RACING CLUB,QUILMES A.C.,700.0,300.0,0.25,1.25,1,6,1312.5,562.5
ALTUBE,SITAS,700.0,300.0,0.25,1.0,1,1,175.0,75.0
ITALIANO DE JOSE C PAZ,SAN MIGUEL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
SAN MIGUEL,ALTUBE,650.0,350.0,0.25,1.0,1,1,162.5,87.5
SITAS,ITALIANO DE JOSE C PAZ,700.0,300.0,0.25,1.0,1,1,175.0,75.0
ALTUBE,ITALIANO DE JOSE C PAZ,700.0,300.0,0.25,1.0,1,1,175.0,75.0
SITAS,SAN MIGUEL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
GEVP CELESTE,SCHOLEM ALEIJEM,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BANCO PROVINCIA,GEVP BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
BANCO PROVINCIA,FLORIDA CLUB,300.0,700.0,0.25,1.0,1,1,75.0,175.0
UNIVERSIDAD DE BUENOS AIRES,HEBRAICA,750.0,250.0,0.25,1.0,1,4,750.0,250.0
BANADE,COOPERATIVA TORTUGUITAS,650.0,350.0,0.25,1.0,1,4,650.0,350.0
NAUTICO BUCHARDO A,CLUB 12 DE OCTUBRE,750.0,250.0,0.25,1.0,1,4,750.0,250.0
CAZA Y PESCA B,SAN FERNANDO BLANCO,700.0,300.0,0.25,1.0,1,4,700.0,300.0
FERROCARRIL OESTE B,SAN LORENZO ROJO,750.0,250.0,0.25,1.0,1,4,750.0,250.0
ALL BOYS BLANCO,EL TALAR,700.0,300.0,0.25,1.0,1,4,700.0,300.0
ARMENIA,INSTITUCION SARMIENTO BLANCO,650.0,350.0,0.25,1.0,1,4,650.0,350.0
PEDRO ECHAGUE AMARILLO,COLEGIALES NEGRO,250.0,750.0,0.25,1.0,1,4,250.0,750.0
OLIMPO,COOPERARIOS,750.0,250.0,0.25,1.0,1,4,750.0,250.0
INSTITUTO GLEW,VILLEGAS BASQUET,650.0,350.0,0.25,1.0,1,4,650.0,350.0
