anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,BP_LOCAL,BP_VISITA,ORP_LOCAL,ORP_VISITA,peso_nivel,peso_anio,peso_ronda,peso_fase,LocalSuma,VisitaSuma
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,GEBA-FERROCARRIL OESTE C,1.0,8/12/2024,GEBA,97.0,FERROCARRIL OESTE C,45.0,750,250,-43.5,10.5,0.85,1,4,0.75,1801.5749999999998,664.275
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,COPELLO-PINOCHO BLANCO,1.0,8/12/2024,COPELLO,74.0,PINOCHO BLANCO,46.0,750,250,153.0,9.0,0.85,1,4,0.75,2302.6499999999996,660.4499999999999
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,ESTRELLA DE BOEDO-ARGENTINOS JUNIORS,1.0,8/12/2024,ESTRELLA DE BOEDO,65.0,ARGENTINOS JUNIORS,59.0,650,350,-12.0,-61.5,0.85,1,4,0.75,1626.8999999999999,735.675
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,CIUDAD DE BUENOS AIRES B-VELEZ SARSFIELD AZUL,1.0,8/12/2024,CIUDAD DE BUENOS AIRES B,72.0,VELEZ SARSFIELD AZUL,52.0,750,250,-51.0,52.5,0.85,1,4,0.75,1782.4499999999998,771.375
2024.0,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,GEBA-COPELLO,1.0,15/12/2024,GEBA,67.0,COPELLO,62.0,650,350,9.0,10.5,0.85,1,6,0.75,2520.6749999999997,1378.9125
2024.0,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,CIUDAD DE BUENOS AIRES B-ESTRELLA DE BOEDO,1.0,15/12/2024,CIUDAD DE BUENOS AIRES B,66.0,ESTRELLA DE BOEDO,60.0,650,350,-61.5,52.5,0.85,1,6,0.75,2251.0125,1539.5625
2024.0,JUVENILES,Playoff,FINAL,2,CENTRO,GEBA-CIUDAD DE BUENOS AIRES B,1.0,22/12/2024,GEBA,74.0,CIUDAD DE BUENOS AIRES B,51.0,750,250,52.5,10.5,0.85,1,6,0.75,3069.5625,996.4124999999999
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,CIRCULO URQUIZA AZUL-CLUB SOCIAL Y DEPORTIVO ARENAL,1.0,8/12/2024,CIRCULO URQUIZA AZUL,63.0,CLUB SOCIAL Y DEPORTIVO ARENAL,45.0,700,300,-136.5,-21.0,0.85,1,4,0.75,1436.925,711.4499999999999
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,COOPERATIVA TORTUGUITAS-YUPANQUI,1.0,8/12/2024,COOPERATIVA TORTUGUITAS,72.0,YUPANQUI,58.0,700,300,-24.0,-7.5,0.85,1,4,0.75,1723.8,745.875
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,ARMENIA-HEBRAICA,1.0,8/12/2024,ARMENIA,42.0,HEBRAICA,70.0,250,750,91.5,27.0,0.85,1,4,0.75,870.8249999999999,1981.35
2024.0,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,U.V.V.ADELINA-CLUB TRES DE FEBRERO AZUL,1.0,8/12/2024,U.V.V.ADELINA,76.0,CLUB TRES DE FEBRERO AZUL,42.0,750,250,28.5,75.0,0.85,1,4,0.75,1985.175,828.7499999999999
2024.0,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,CIRCULO URQUIZA AZUL-COOPERATIVA TORTUGUITAS,1.0,15/12/2024,CIRCULO URQUIZA AZUL,51.0,COOPERATIVA TORTUGUITAS,45.0,650,350,-7.5,-21.0,0.85,1,6,0.75,2457.5625,1258.425
