Equipo,Puntos
FERROCARRIL OESTE A,292230.3
PINOCHO BLANCO,257676.641875
LANUS A,250614.35000000003
BOCA JUNIORS AZUL,250526.0
OBRAS CENTRO,240918.575
GEVP BLANCO,216395.88125
RIVER PLATE,216143.55000000002
G.E DE LOMAS DE ZAMORA A,204431.675
OBRAS NORTE,200084.325
CLUB TRES DE FEBRERO BLANCO,196581.725
INSTITUCION SARMIENTO VERDE,190724.525
ARGENTINO DE CASTELAR NORTE,183592.15000000002
ESTUDIANTIL PORTEÑO A,173228.25
QUILMES A.C.,171165.45
WILDE SPORTING,169626.35625
MORON A,164024.975
LOS INDIOS DE MORENO NEGRO,157139.02500000002
VELEZ SARSFIELD BLANCO,148691.49375000002
CAZA Y PESCA A,147535.96875
CIUDAD DE BUENOS AIRES A,145806.51875000002
SAN FERNANDO AZUL,145771.4625
C.A.S.A PADUA A,143006.54375
SAN LORENZO AZUL,140463.0375
PRESIDENTE DERQUI,134391.445
SPORTIVO ESCOBAR,133353.61250000002
CLUB GEI AZUL,128179.35
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,125154.27125
PEDRO ECHAGUE AZUL,124276.45000000001
A.F.A.L.P. A,118863.50625
TRISTAN SUAREZ,117379.48125000001
IMPERIO BLANCO,115221.81875
CLARIDAD,114301.63500000001
RACING CLUB,111265.07500000001
COMUNICACIONES,108465.87000000001
INDEPENDIENTE,108145.30625
BERAZATEGUI,107812.1625
CAÑUELAS FC,107107.11875
ARQUITECTURA NEGRO,106843.79125000001
ITALIANO,105296.17874999999
VICTORIA,104606.9065625
PLATENSE MARRON,104179.3975
HARRODS GATH Y CHAVES,101023.535625
HEBRAICA,100705.7271875
MONTE GRANDE,100186.73875000002
VARELA JRS,99329.92125000001
TEMPERLEY,99290.93125000001
UNION FLORIDA,99100.05625
FERROCARRIL OESTE B,98241.0678125
ATLETICO BOULOGNE,97393.58750000001
SAN MIGUEL,97311.3765625
JOSE HERNANDEZ A,96578.6
HURACAN DE SAN JUSTO ROJO,96113.61375
DEPORTIVO SAN ANDRES,95786.98875
U.V.V.ADELINA,93940.63687500001
UNIVERSIDAD DE BUENOS AIRES,93197.28343750001
CLUB SPORTIVO PILAR,92339.83875
APV,92262.24250000001
BANCO PROVINCIA,92145.6465625
COLEGIALES BLANCO,91599.94375
NAUTICO BUCHARDO A,91426.595
ARGENTINO DE CASTELAR CENTRO,90722.67343750001
NAUTICO HACOAJ BLANCO,89050.07500000001
NOLTING,88565.93375
"DEPORTIVO CROVARA  ""A""",88477.35375000001
VILLA MITRE,87370.62125
SOCIAL BECCAR,86708.925
DEFENSORES DE HURLINGHAM VERDE,86185.67000000001
ALL BOYS BLANCO,85344.42406250001
CIUDAD DE BUENOS AIRES B,85235.01968750001
CENTRO GALICIA,84889.00031250001
CEDEM,84868.40375
MACABI,84784.1671875
EL TALAR,84746.831875
17 DE AGOSTO,83304.74250000001
UNITARIOS DE MARCOS PAZ,82449.03375
BANADE,82234.69468750001
LOS ANDES,82130.81125
UNION VECINAL DE MUNRO,81437.2696875
DEFENSORES DE BANFIELD,80319.09
RAMOS MEJIA LTC,80093.0625
OLIMPO,78881.52875
BURZACO FC A,78879.875
MIDLAND,78615.3725
CLUB TRES DE FEBRERO AZUL,78570.098125
BOCA JUNIORS AMARILLO,78375.28812499999
ARMENIA,78026.8453125
CLUB SOCIAL ALEJANDRO KORN,77143.59
GEVP CELESTE,75598.0325
LOS INDIOS DE MORENO BLANCO,74577.128125
VILLEGAS BASQUET,73191.0378125
INSTITUCION SARMIENTO BLANCO,72625.36812500001
DEP. MORON BLANCO,72493.65
COOPERARIOS,72418.080625
BANCO NACIÓN,70581.73500000002
MORON B,70185.5546875
GEBA,69965.43968750001
COPELLO,69582.4978125
ESTUDIANTIL PORTEÑO B,69494.460625
C.A.S.A PADUA B,69077.8984375
CAZA Y PESCA B,68813.8515625
CLUB ATLETICO PILAR,68703.8025
LAS HERAS A,68494.79125000001
SPORTIVO VILLA BALLESTER,68136.72625
EL PALOMAR,66807.5271875
UNLAM A,66737.7653125
DEFENSORES DE SANTOS LUGARES,65718.8425
LEANDRO N ALEM,65510.76125
COOPERATIVA TORTUGUITAS,65267.82781250001
CLUB ATLETICO BERNAL,64690.77250000001
CLUB PORTUGUES DEL GRAN BUENOS AIRES,64596.08125
ARGENTINOS JUNIORS,64054.0971875
COUNTRY BANFIELD A,63916.51937500001
LANUS B,63747.56218750001
LOBOS ATHLETIC CLUB,63080.3603125
PORTEÑO ATLETICO CLUB,62302.006250000006
ITALIANO B,61785.780625
CENTRO ESPAÑOL,59694.630625000005
CIRCULO URQUIZA AZUL,58844.22625000001
G.E DE LOMAS DE ZAMORA B,57772.786250000005
YUPANQUI,56167.014062500006
VILLA ESPAÑA,55978.9453125
COLEGIALES NEGRO,55922.326250000006
DEFENSORES DE GLEW,55367.55
SOCIAL LANUS,55197.928125
SAN LORENZO ROJO,54951.8865625
CLUB GEI BLANCO,54612.71625
GUILLON BASQUET,54283.6978125
IMPERIO NEGRO,54039.560937500006
SITAS,53068.6746875
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,52852.07875
INDEPENDIENTE DE BURZACO,52256.670312500006
COLON FC,51816.814375
FERROCARRIL OESTE C,51601.3475
PLATENSE BLANCO,51108.5034375
NAUTICO HACOAJ AZUL,50923.52281250001
CLUB SOCIAL EZEIZA,50687.7721875
JUVENTUD UNIDA,50629.114687500005
VELEZ SARSFIELD AZUL,50160.160625000004
CIUDADELA NORTE,49991.990625000006
LA UNION,49670.971875
ITALIANO DE JOSE C PAZ,49382.625
TAPONAZO  FUTBOL CLUB,49026.49312499999
PEDRO ECHAGUE AMARILLO,48884.593125
SPORTIVO ALSINA,47207.6725
ESTRELLA DE BOEDO,46926.5709375
MORENO DE QUILMES,46131.2515625
MUNICIPALIDAD DE AVELLANEDA,45499.575000000004
PINOCHO VERDE,44801.4078125
SAN FERNANDO BLANCO,44402.3078125
LAS HERAS B,43103.3228125
JOSE HERNANDEZ B,42611.67156250001
CLUB 12 DE OCTUBRE,42449.1225
