Equipo,Puntos
FERROCARRIL OESTE A,105563.8
GEVP BLANCO,90883.7
PINOCHO BLANCO,87545.959375
BOCA JUNIORS AZUL,84954.125
OBRAS NORTE,82303.95
OBRAS CENTRO,82203.625
WILDE SPORTING,80632.6
G.E DE LOMAS DE ZAMORA A,74473.25
ARGENTINO DE CASTELAR NORTE,73608.45
LANUS A,72230.15000000001
RIVER PLATE,70559.6
VELEZ SARSFIELD BLANCO,70054.1
SAN FERNANDO AZUL,70011.45
INSTITUCION SARMIENTO VERDE,66641.4
C.A.S.A PADUA A,64752.3
CIUDAD DE BUENOS AIRES A,60678.600000000006
CAZA Y PESCA A,60052.006250000006
PRESIDENTE DERQUI,59062.345
CLUB TRES DE FEBRERO BLANCO,58478.225000000006
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,53427.271250000005
QUILMES A.C.,50907.425
SPORTIVO ESCOBAR,50806.2875
CLUB GEI AZUL,50489.975
ESTUDIANTIL PORTEÑO A,50472.625
MORON A,47584.775
LOS INDIOS DE MORENO NEGRO,45243.5
CAÑUELAS FC,44506.025
SAN LORENZO AZUL,42486.9125
IMPERIO BLANCO,41506.675
VICTORIA,40854.1578125
SAN MIGUEL,40465.3590625
17 DE AGOSTO,40135.223750000005
TRISTAN SUAREZ,39421.49375
RACING CLUB,39411.350000000006
ITALIANO,38887.2725
INDEPENDIENTE,38092.2625
ARGENTINO DE CASTELAR CENTRO,37209.7446875
A.F.A.L.P. A,36514.012500000004
EL TALAR,35672.196875
PLATENSE MARRON,35629.37
COLEGIALES BLANCO,35541.950000000004
BERAZATEGUI,35436.6125
PEDRO ECHAGUE AZUL,35245.4875
ARQUITECTURA NEGRO,35094.5225
UNION FLORIDA,34853.8375
CLARIDAD,34371.385
COMUNICACIONES,34335.0975
HARRODS GATH Y CHAVES,34069.221875
CLUB SPORTIVO PILAR,33993.81375
FERROCARRIL OESTE B,33156.5
RAMOS MEJIA LTC,32901.7125
HEBRAICA,32675.4715625
VARELA JRS,32601.755
NOLTING,31913.207499999997
HURACAN DE SAN JUSTO ROJO,31843.375
TEMPERLEY,31796.787500000002
UNION VECINAL DE MUNRO,31344.020937499998
MIDLAND,31213.21
ATLETICO BOULOGNE,31104.9625
UNIVERSIDAD DE BUENOS AIRES,30803.643750000003
JOSE HERNANDEZ A,30784.775
APV,30753.3375
MONTE GRANDE,30622.518750000003
U.V.V.ADELINA,30434.412500000002
LOS ANDES,30061.96
GEVP CELESTE,30055.870000000003
NAUTICO BUCHARDO A,29536.305
COOPERARIOS,29505.924375000002
SOCIAL BECCAR,29257.6875
NAUTICO HACOAJ BLANCO,28649.95
PORTEÑO ATLETICO CLUB,28449.47375
CLUB SOCIAL ALEJANDRO KORN,28430.641875
MACABI,28377.611249999998
CENTRO GALICIA,28343.892812500002
DEPORTIVO SAN ANDRES,28142.1375
