Equipo,Puntos
NAUTICO BUCHARDO A,0
SAN LORENZO AZUL,0
ALL BOYS BLANCO,0
DEP. MORON BLANCO,0
RACING CLUB,0
OBRAS CENTRO,0
DEFENSORES DE BANFIELD,0
UNIVERSIDAD DE BUENOS AIRES,0
FERROCARRIL OESTE B,0
CAZA Y PESCA A,0
RAMOS MEJIA LTC,0
BOCA JUNIORS AZUL,0
BOCA JUNIORS AMARILLO,0
HURACAN DE SAN JUSTO BLANCO,0
BANADE,0
ESTUDIANTIL PORTEÑO A,0
COLEGIALES BLANCO,0
PLATENSE MARRON,0
TEMPERLEY,0
ALTUBE,0
ITALIANO DE JOSE C PAZ,0
SAN MIGUEL,0
SITAS,0
GEVP CELESTE,0
BANCO PROVINCIA,0
CAZA Y PESCA B,0
ARMENIA,0
PEDRO ECHAGUE AMARILLO,0
OLIMPO,0
INSTITUTO GLEW,0
ARGENTINO DE CASTELAR CENTRO,0
CENTRO ESPAÑOL,0
ARGENTINO DE CASTELAR NORTE,0
C.A.S.A PADUA A,0
DEPORTIVO SAN ANDRES,0
BANCO NACIÓN,0
"DEPORTIVO CROVARA  ""A""",0
VELEZ SARSFIELD BLANCO,0
CAÑUELAS FC,0
QUILMES A.C.,0
LANUS A,0
PEDRO ECHAGUE AZUL,0
COLEGIALES NEGRO,0
EL TALAR,0
IMPERIO NEGRO,0
MONTE GRANDE,0
LANUS B,0
WILDE SPORTING,0
TRISTAN SUAREZ,0
JOSE HERNANDEZ A,0
APV,0
IMPERIO BLANCO,0
TELEFONOS,0
NAUTICO HACOAJ AZUL,0
DEFENSORES DE SANTOS LUGARES,0
SAN FERNANDO AZUL,0
NAUTICO HACOAJ BLANCO,0
VICTORIA,0
UNION FLORIDA,0
LEANDRO N ALEM,0
NOLTING,0
INSTITUCION SARMIENTO VERDE,0
CLUB GEI AZUL,0
FERROCARRIL OESTE A,0
RIVER PLATE,0
A.F.A.L.P. A,0
LOS ANDES,0
TALLERES,0
DEFENSORES DE MORENO,0
SIERO BIBLIOTECA,0
BURZACO FC B,0
MUNICIPALIDAD DE AVELLANEDA,0
VILLEGAS BASQUET,0
COOPERARIOS,0
VILLA IDEAL,0
MORENO DE QUILMES,0
G.E DE LOMAS DE ZAMORA B,0
