EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
CLARIDAD,12,12,0,0,1093,549,544,24
GEVP CELESTE B,12,12,0,0,830,435,395,24
FERROCARRIL OESTE BLANCO (B),12,12,0,0,893,543,350,24
JOSE HERNANDEZ A,12,10,2,0,898,619,279,22
PINOCHO BLANCO,12,10,2,0,775,577,198,22
FERROCARRIL OESTE VERDE (A),11,10,1,0,900,594,306,21
PINOCHO,11,10,1,0,920,654,266,21
EL TALAR,12,9,3,0,969,734,235,21
ARMENIA,11,10,1,0,703,483,220,21
SAN LORENZO AZUL,12,9,3,0,851,703,148,21
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,12,9,3,0,700,633,67,21
NOLTING,12,8,4,0,865,685,180,20
ARQUITECTURA NEGRO A,12,8,4,0,907,733,174,20
PEDRO ECHAGUE AMARILLO B,11,9,2,0,680,527,153,20
ALL BOYS BLANCO,12,7,5,0,889,790,99,19
PINOCHO VERDE,12,7,5,0,766,680,86,19
ARQUITECTURA BLANCO B,12,7,5,0,764,689,75,19
UNIVERSIDAD DE LA MATANZA,12,7,5,0,746,695,51,19
SAN LORENZO ROJO B,12,7,5,0,682,657,25,19
FERROCARRIL OESTE NARANJA (C),12,7,5,0,587,607,-20,19
PEDRO ECHAGUE AZUL A,12,6,6,0,775,736,39,18
"JOSE HERNANDEZ ""B""",12,6,6,0,630,654,-24,18
GEBA,11,7,3,1,696,625,71,17
"DEPORTIVO CROVARA  ""A""",12,5,7,0,755,826,-71,17
COLEGIALES BLANCO,11,5,6,0,750,746,4,16
NUEVA CHICAGO,11,5,6,0,624,652,-28,16
COLEGIALES NEGRO,12,4,8,0,670,781,-111,16
ITALIANO,10,5,5,0,754,754,0,15
YUPANQUI,12,4,7,1,684,818,-134,15
ITALIANO B,12,3,9,0,550,706,-156,15
JUVENCIA,12,3,9,0,683,988,-305,15
ESTRELLA DE BOEDO,11,3,8,0,558,555,3,14
VELEZ SARSFIELD AZUL - B,12,2,10,0,705,788,-83,14
VILLA MITRE,12,2,10,0,616,820,-204,14
RACING ANEXO,11,2,9,0,572,758,-186,13
IMPERIO BLANCO A,10,2,8,0,595,759,-164,12
ALL BOYS DE SAAVEDRA,11,1,10,0,460,689,-229,12
IMPERIO NEGRO B,12,0,12,0,497,829,-332,12
MACABI,12,0,12,0,636,1036,-400,12
DEPORTIVO CROVARA B,12,0,12,0,418,872,-454,12
ALDO BONZI,12,0,12,0,533,1026,-493,12
ARGENTINOS JUNIORS,12,0,12,0,425,999,-574,12
