EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
PEDRO ECHAGUE AZUL A,11,11,0,0,1083,262,821,22
CLARIDAD,11,11,0,0,973,209,764,22
PINOCHO,11,11,0,0,957,435,522,22
VILLA MITRE,12,10,2,0,932,465,467,22
JOSE HERNANDEZ A,11,10,1,0,1012,327,685,21
UNIVERSIDAD DE LA MATANZA,11,10,1,0,647,309,338,21
GEVP CELESTE B,11,9,1,1,658,275,383,19
ARQUITECTURA NEGRO A,11,8,3,0,798,426,372,19
VELEZ SARSFIELD AZUL - B,11,8,3,0,497,303,194,19
FERROCARRIL OESTE BLANCO (B),9,9,0,0,637,152,485,18
"DEPORTIVO CROVARA  ""A""",11,7,4,0,770,463,307,18
ARMENIA,11,7,4,0,482,411,71,18
ESTRELLA DE BOEDO,11,7,3,1,485,310,175,17
FERROCARRIL OESTE VERDE (A),10,7,2,1,783,235,548,16
PINOCHO BLANCO,10,7,2,1,514,261,253,16
ARQUITECTURA BLANCO B,9,7,2,0,503,266,237,16
COLEGIALES BLANCO,11,5,6,0,576,485,91,16
EL TALAR,12,4,8,0,504,743,-239,16
SAN LORENZO AZUL,11,4,7,0,427,642,-215,15
COLEGIALES NEGRO,11,4,7,0,272,502,-230,15
NOLTING,11,4,7,0,358,705,-347,15
RACING ANEXO,10,7,0,3,459,181,278,14
"JOSE HERNANDEZ ""B""",10,4,6,0,408,433,-25,14
PINOCHO VERDE,11,4,6,1,365,425,-60,14
ITALIANO,9,5,4,0,309,397,-88,14
FERROCARRIL OESTE NARANJA (C),11,3,8,0,332,484,-152,14
GEBA,10,4,6,0,304,606,-302,14
ALDO BONZI,11,3,8,0,365,854,-489,14
ALL BOYS BLANCO,11,2,9,0,482,836,-354,13
DEPORTIVO CROVARA B,11,2,9,0,270,634,-364,13
YUPANQUI,12,2,9,1,373,832,-459,13
JUVENCIA,11,2,9,0,299,760,-461,13
ARGENTINOS JUNIORS,12,0,12,0,217,1076,-859,12
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,11,4,3,4,319,264,55,11
SAN LORENZO ROJO B,10,1,9,0,224,563,-339,11
ALL BOYS DE SAAVEDRA,10,2,6,2,336,336,0,10
ITALIANO B,10,0,10,0,76,694,-618,10
PEDRO ECHAGUE AMARILLO B,9,1,7,1,221,546,-325,9
IMPERIO BLANCO A,8,1,6,1,165,580,-415,8
MACABI,9,0,7,2,143,492,-349,7
IMPERIO NEGRO B,7,1,4,2,144,246,-102,6
NUEVA CHICAGO,10,0,5,5,38,292,-254,5
