EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
JOSE HERNANDEZ A,11,11,0,0,866,233,633,22
VELEZ SARSFIELD AZUL - B,11,11,0,0,579,306,273,22
PINOCHO,11,10,1,0,953,307,646,21
ARQUITECTURA NEGRO A,11,10,1,0,829,283,546,21
PINOCHO BLANCO,11,10,1,0,683,274,409,21
VILLA MITRE,12,9,3,0,768,458,310,21
PEDRO ECHAGUE AZUL A,12,9,3,0,684,512,172,21
FERROCARRIL OESTE VERDE (A),10,10,0,0,925,248,677,20
CLARIDAD,11,9,2,0,697,392,305,20
ARMENIA,11,9,2,0,535,239,296,20
IMPERIO NEGRO B,12,8,4,0,643,425,218,20
GEVP CELESTE B,11,9,2,0,507,304,203,20
"DEPORTIVO CROVARA  ""A""",11,8,3,0,775,335,440,19
ESTRELLA DE BOEDO,10,9,0,1,563,223,340,18
FERROCARRIL OESTE BLANCO (B),10,8,1,0,640,239,401,17
EL TALAR,12,5,7,0,483,595,-112,17
ITALIANO,9,7,2,0,579,376,203,16
ARQUITECTURA BLANCO B,10,6,4,0,395,350,45,16
UNIVERSIDAD DE LA MATANZA,11,5,6,0,399,482,-83,16
YUPANQUI,12,5,6,1,360,622,-262,16
PINOCHO VERDE,11,4,7,0,386,469,-83,15
ALL BOYS BLANCO,11,4,7,0,378,609,-231,15
JUVENCIA,11,4,7,0,405,702,-297,15
IMPERIO BLANCO A,9,5,4,0,469,441,28,14
SAN LORENZO ROJO B,10,5,4,1,354,395,-41,14
SAN LORENZO AZUL,11,3,8,0,577,628,-51,14
"JOSE HERNANDEZ ""B""",11,3,8,0,374,506,-132,14
FERROCARRIL OESTE NARANJA (C),11,2,9,0,342,432,-90,13
DEPORTIVO CROVARA B,11,2,9,0,260,439,-179,13
COLEGIALES BLANCO,11,2,9,0,289,772,-483,13
RACING ANEXO,10,5,2,2,303,214,89,12
PEDRO ECHAGUE AMARILLO B,9,3,6,0,265,393,-128,12
GEBA,11,2,8,1,300,808,-508,12
ALDO BONZI,11,1,10,0,267,796,-529,12
ARGENTINOS JUNIORS,12,0,12,0,215,891,-676,12
NOLTING,11,1,9,1,353,643,-290,11
ITALIANO B,11,1,9,1,227,601,-374,11
COLEGIALES NEGRO,11,1,9,0,125,692,-567,11
MACABI,10,0,10,0,284,805,-521,10
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,9,1,7,0,166,478,-312,9
ALL BOYS DE SAAVEDRA,7,1,6,0,134,379,-245,8
NUEVA CHICAGO,2,0,0,2,0,40,-40,0
