EQUIPO,PJ,PG,PP,NP,PF,PC,puntos,DP
CLARIDAD,57,32,3,0,4011,1854,89.0,2157
ARQUITECTURA NEGRO A,57,29,6,0,3840,2227,86.0,1613
JOSE HERNANDEZ A,57,30,5,0,3746,1824,85.0,1922
GEVP CELESTE B,56,31,4,0,2806,1572,85.0,1234
VELEZ SARSFIELD AZUL - B,56,30,5,0,2742,1686,85.0,1056
PINOCHO,54,30,3,0,4110,1874,84.0,2236
PINOCHO BLANCO,56,29,6,0,2904,1535,83.0,1369
FERROCARRIL OESTE VERDE (A),51,32,0,0,4299,1590,82.0,2709
FERROCARRIL OESTE BLANCO (B),51,30,3,0,3279,1276,80.0,2003
ARMENIA,53,28,5,0,2591,1539,80.0,1052
"DEPORTIVO CROVARA  ""A""",57,22,13,0,3500,2151,79.0,1349
PEDRO ECHAGUE AZUL A,58,24,12,0,3506,2359,78.0,1147
EL TALAR,60,18,18,0,2724,3197,78.0,-473
ESTRELLA DE BOEDO,52,27,5,1,2624,1542,77.0,1082
VILLA MITRE,60,18,18,0,3274,2623,77.0,651
SAN LORENZO AZUL,56,19,16,0,2761,2765,71.0,-4
ALL BOYS BLANCO,57,14,21,0,2356,3282,71.0,-926
ARQUITECTURA BLANCO B,52,18,16,0,2135,2051,70.0,84
FERROCARRIL OESTE NARANJA (C),57,13,22,0,2005,2211,69.0,-206
NOLTING,57,14,20,1,2223,2898,69.0,-675
ITALIANO,49,20,11,0,2606,2285,68.0,321
SAN LORENZO ROJO B,50,17,14,1,1790,2020,65.0,-230
IMPERIO NEGRO B,53,15,21,1,1873,2231,65.0,-358
PINOCHO VERDE,56,12,22,0,1736,2200,63.0,-464
"JOSE HERNANDEZ ""B""",55,9,26,0,1685,2565,63.0,-880
JUVENCIA,57,9,25,1,1912,3478,63.0,-1566
ALDO BONZI,57,8,27,0,1870,3571,63.0,-1701
ARGENTINOS JUNIORS,60,5,31,0,1568,3857,63.0,-2289
ITALIANO B,51,15,19,2,1692,2579,62.0,-887
DEPORTIVO CROVARA B,57,6,29,0,1342,2758,62.0,-1416
YUPANQUI,60,8,25,5,1649,3135,62.0,-1486
UNIVERSIDAD DE LA MATANZA,54,10,22,0,2111,2085,61.0,26
COLEGIALES BLANCO,54,8,25,0,2118,2930,61.0,-812
PEDRO ECHAGUE AMARILLO B,47,16,15,0,1472,1949,60.0,-477
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,52,15,17,0,1586,1876,59.0,-290
COLEGIALES NEGRO,56,5,29,0,1404,2735,59.0,-1331
GEBA,53,6,25,2,1644,2983,56.0,-1339
RACING ANEXO,51,12,18,2,1902,1602,55.0,300
IMPERIO BLANCO A,46,11,20,0,1922,2537,55.0,-615
MACABI,51,4,30,0,1497,3716,50.0,-2219
ALL BOYS DE SAAVEDRA,42,7,22,1,1339,1991,46.0,-652
NUEVA CHICAGO,35,2,20,3,646,1661,29.0,-1015
