EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos,GRUPO
CLARIDAD,12,12,0,0,1093,549,544,24,4
GEVP CELESTE B,12,12,0,0,830,435,395,24,6
FERROCARRIL OESTE BLANCO (B),12,12,0,0,893,543,350,24,2
JOSE HERNANDEZ A,12,10,2,0,898,619,279,22,4
PINOCHO BLANCO,12,10,2,0,775,577,198,22,2
FERROCARRIL OESTE VERDE (A),11,10,1,0,900,594,306,21,3
PINOCHO,11,10,1,0,920,654,266,21,1
EL TALAR,12,9,3,0,969,734,235,21,1
ARMENIA,11,10,1,0,703,483,220,21,5
SAN LORENZO AZUL,12,9,3,0,851,703,148,21,3
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,12,9,3,0,700,633,67,21,5
NOLTING,12,8,4,0,865,685,180,20,4
ARQUITECTURA NEGRO A,12,8,4,0,907,733,174,20,1
PEDRO ECHAGUE AMARILLO B,11,9,2,0,680,527,153,20,5
ALL BOYS BLANCO,12,7,5,0,889,790,99,19,1
PINOCHO VERDE,12,7,5,0,766,680,86,19,6
ARQUITECTURA BLANCO B,12,7,5,0,764,689,75,19,2
UNIVERSIDAD DE LA MATANZA,12,7,5,0,746,695,51,19,6
SAN LORENZO ROJO B,12,7,5,0,682,657,25,19,6
FERROCARRIL OESTE NARANJA (C),12,7,5,0,587,607,-20,19,6
PEDRO ECHAGUE AZUL A,12,6,6,0,775,736,39,18,3
"JOSE HERNANDEZ ""B""",12,6,6,0,630,654,-24,18,2
GEBA,11,7,3,1,696,625,71,17,3
"DEPORTIVO CROVARA  ""A""",12,5,7,0,755,826,-71,17,4
COLEGIALES BLANCO,11,5,6,0,750,746,4,16,1
NUEVA CHICAGO,11,5,6,0,624,652,-28,16,5
COLEGIALES NEGRO,12,4,8,0,670,781,-111,16,2
ITALIANO,10,5,5,0,754,754,0,15,3
YUPANQUI,12,4,7,1,684,818,-134,15,4
ITALIANO B,12,3,9,0,550,706,-156,15,2
JUVENCIA,12,3,9,0,683,988,-305,15,4
ESTRELLA DE BOEDO,11,3,8,0,558,555,3,14,5
VELEZ SARSFIELD AZUL - B,12,2,10,0,705,788,-83,14,6
VILLA MITRE,12,2,10,0,616,820,-204,14,1
RACING ANEXO,11,2,9,0,572,758,-186,13,5
IMPERIO BLANCO A,10,2,8,0,595,759,-164,12,3
ALL BOYS DE SAAVEDRA,11,1,10,0,460,689,-229,12,5
IMPERIO NEGRO B,12,0,12,0,497,829,-332,12,2
MACABI,12,0,12,0,636,1036,-400,12,3
DEPORTIVO CROVARA B,12,0,12,0,418,872,-454,12,6
ALDO BONZI,12,0,12,0,533,1026,-493,12,4
ARGENTINOS JUNIORS,12,0,12,0,425,999,-574,12,1
