EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos,GRUPO
PEDRO ECHAGUE AZUL A,11,11,0,0,1083,262,821,22,3
CLARIDAD,11,11,0,0,973,209,764,22,4
PINOCHO,11,11,0,0,957,435,522,22,1
VILLA MITRE,12,10,2,0,932,465,467,22,1
JOSE HERNANDEZ A,11,10,1,0,1012,327,685,21,4
UNIVERSIDAD DE LA MATANZA,11,10,1,0,647,309,338,21,6
GEVP CELESTE B,11,9,1,1,658,275,383,19,6
ARQUITECTURA NEGRO A,11,8,3,0,798,426,372,19,1
VELEZ SARSFIELD AZUL - B,11,8,3,0,497,303,194,19,6
FERROCARRIL OESTE BLANCO (B),9,9,0,0,637,152,485,18,2
"DEPORTIVO CROVARA  ""A""",11,7,4,0,770,463,307,18,4
ARMENIA,11,7,4,0,482,411,71,18,5
ESTRELLA DE BOEDO,11,7,3,1,485,310,175,17,5
FERROCARRIL OESTE VERDE (A),10,7,2,1,783,235,548,16,3
PINOCHO BLANCO,10,7,2,1,514,261,253,16,2
ARQUITECTURA BLANCO B,9,7,2,0,503,266,237,16,2
COLEGIALES BLANCO,11,5,6,0,576,485,91,16,1
EL TALAR,12,4,8,0,504,743,-239,16,1
SAN LORENZO AZUL,11,4,7,0,427,642,-215,15,3
COLEGIALES NEGRO,11,4,7,0,272,502,-230,15,2
NOLTING,11,4,7,0,358,705,-347,15,4
RACING ANEXO,10,7,0,3,459,181,278,14,5
"JOSE HERNANDEZ ""B""",10,4,6,0,408,433,-25,14,2
PINOCHO VERDE,11,4,6,1,365,425,-60,14,6
ITALIANO,9,5,4,0,309,397,-88,14,3
FERROCARRIL OESTE NARANJA (C),11,3,8,0,332,484,-152,14,6
GEBA,10,4,6,0,304,606,-302,14,3
ALDO BONZI,11,3,8,0,365,854,-489,14,4
ALL BOYS BLANCO,11,2,9,0,482,836,-354,13,1
DEPORTIVO CROVARA B,11,2,9,0,270,634,-364,13,6
YUPANQUI,12,2,9,1,373,832,-459,13,4
JUVENCIA,11,2,9,0,299,760,-461,13,4
ARGENTINOS JUNIORS,12,0,12,0,217,1076,-859,12,1
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,11,4,3,4,319,264,55,11,5
SAN LORENZO ROJO B,10,1,9,0,224,563,-339,11,6
ALL BOYS DE SAAVEDRA,10,2,6,2,336,336,0,10,5
ITALIANO B,10,0,10,0,76,694,-618,10,2
PEDRO ECHAGUE AMARILLO B,9,1,7,1,221,546,-325,9,5
IMPERIO BLANCO A,8,1,6,1,165,580,-415,8,3
MACABI,9,0,7,2,143,492,-349,7,3
IMPERIO NEGRO B,7,1,4,2,144,246,-102,6,2
NUEVA CHICAGO,10,0,5,5,38,292,-254,5,5
