EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos,GRUPO
JOSE HERNANDEZ A,11,11,0,0,866,233,633,22,4
VELEZ SARSFIELD AZUL - B,11,11,0,0,579,306,273,22,6
PINOCHO,11,10,1,0,953,307,646,21,1
ARQUITECTURA NEGRO A,11,10,1,0,829,283,546,21,1
PINOCHO BLANCO,11,10,1,0,683,274,409,21,2
VILLA MITRE,12,9,3,0,768,458,310,21,1
PEDRO ECHAGUE AZUL A,12,9,3,0,684,512,172,21,3
FERROCARRIL OESTE VERDE (A),10,10,0,0,925,248,677,20,3
CLARIDAD,11,9,2,0,697,392,305,20,4
ARMENIA,11,9,2,0,535,239,296,20,5
IMPERIO NEGRO B,12,8,4,0,643,425,218,20,2
GEVP CELESTE B,11,9,2,0,507,304,203,20,6
"DEPORTIVO CROVARA  ""A""",11,8,3,0,775,335,440,19,4
ESTRELLA DE BOEDO,10,9,0,1,563,223,340,18,5
FERROCARRIL OESTE BLANCO (B),10,8,1,1,640,239,401,17,2
EL TALAR,12,5,7,0,483,595,-112,17,1
ITALIANO,9,7,2,0,579,376,203,16,3
ARQUITECTURA BLANCO B,10,6,4,0,395,350,45,16,2
UNIVERSIDAD DE LA MATANZA,11,5,6,0,399,482,-83,16,6
YUPANQUI,12,5,6,1,360,622,-262,16,4
PINOCHO VERDE,11,4,7,0,386,469,-83,15,6
ALL BOYS BLANCO,11,4,7,0,378,609,-231,15,1
JUVENCIA,11,4,7,0,405,702,-297,15,4
IMPERIO BLANCO A,9,5,4,0,469,441,28,14,3
SAN LORENZO ROJO B,10,5,4,1,354,395,-41,14,6
SAN LORENZO AZUL,11,3,8,0,577,628,-51,14,3
"JOSE HERNANDEZ ""B""",11,3,8,0,374,506,-132,14,2
FERROCARRIL OESTE NARANJA (C),11,2,9,0,342,432,-90,13,6
DEPORTIVO CROVARA B,11,2,9,0,260,439,-179,13,6
COLEGIALES BLANCO,11,2,9,0,289,772,-483,13,1
RACING ANEXO,10,5,2,3,303,214,89,12,5
PEDRO ECHAGUE AMARILLO B,9,3,6,0,265,393,-128,12,5
GEBA,11,2,8,1,300,808,-508,12,3
ALDO BONZI,11,1,10,0,267,796,-529,12,4
ARGENTINOS JUNIORS,12,0,12,0,215,891,-676,12,1
NOLTING,11,1,9,1,353,643,-290,11,4
ITALIANO B,11,1,9,1,227,601,-374,11,2
COLEGIALES NEGRO,11,1,9,1,125,692,-567,11,2
MACABI,10,0,10,0,284,805,-521,10,3
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,9,1,7,1,166,478,-312,9,5
ALL BOYS DE SAAVEDRA,7,1,6,0,134,379,-245,8,5
NUEVA CHICAGO,2,0,0,2,0,40,-40,0,5
