EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos,GRUPO
VILLA MITRE,12,11,0,1,296,162,134,22,1
"DEPORTIVO CROVARA  ""A""",11,10,1,0,398,85,313,21,4
CLARIDAD,11,10,1,0,413,102,311,21,4
PINOCHO BLANCO,11,10,0,1,204,60,144,20,2
FERROCARRIL OESTE NARANJA (C),11,9,1,1,158,67,91,19,6
PINOCHO,10,8,2,0,244,164,80,18,1
FERROCARRIL OESTE VERDE (A),9,8,0,0,230,119,111,17,3
ARQUITECTURA NEGRO A,11,6,5,0,201,156,45,17,1
EL TALAR,12,4,7,0,320,376,-56,16,1
VELEZ SARSFIELD AZUL - B,10,6,2,1,176,132,44,15,6
ALL BOYS BLANCO,11,4,7,0,178,234,-56,15,1
UNIVERSIDAD DE LA MATANZA,10,6,2,2,180,86,94,14,6
GEBA,10,5,2,1,160,106,54,14,3
ARMENIA,9,6,2,1,108,80,28,14,5
IMPERIO NEGRO B,10,5,3,1,102,82,20,14,2
GEVP CELESTE B,10,5,4,1,102,90,12,14,6
JOSE HERNANDEZ A,11,5,3,2,140,144,-4,14,4
COLEGIALES NEGRO,10,4,5,1,94,129,-35,13,2
FERROCARRIL OESTE BLANCO (B),8,4,3,0,134,108,26,12,2
ARQUITECTURA BLANCO B,9,3,5,0,87,88,-1,12,2
COLEGIALES BLANCO,10,3,5,1,150,166,-16,12,1
NOLTING,11,2,6,1,88,178,-90,12,4
YUPANQUI,12,2,7,2,88,214,-126,12,4
RACING ANEXO,8,5,1,2,78,44,34,11,5
DEPORTIVO CROVARA B,11,1,8,1,113,236,-123,11,6
ALDO BONZI,11,2,7,2,57,266,-209,11,4
PEDRO ECHAGUE AZUL A,11,3,4,4,104,128,-24,10,3
"JOSE HERNANDEZ ""B""",10,1,7,1,44,136,-92,10,2
ARGENTINOS JUNIORS,12,0,10,2,98,229,-131,10,1
JUVENCIA,11,1,6,2,41,236,-195,10,4
SAN LORENZO AZUL,10,3,1,4,100,82,18,9,3
ESTRELLA DE BOEDO,8,1,6,0,106,130,-24,9,5
SAN LORENZO ROJO B,8,2,5,1,63,100,-37,9,6
ITALIANO,9,1,7,1,44,118,-74,9,3
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,8,3,2,3,94,76,18,8,5
IMPERIO BLANCO A,7,1,5,1,60,137,-77,7,3
PINOCHO VERDE,10,0,7,3,31,112,-81,7,6
MACABI,8,1,3,3,58,66,-8,6,3
PEDRO ECHAGUE AMARILLO B,7,1,3,2,40,54,-14,6,5
ALL BOYS DE SAAVEDRA,3,1,1,1,18,40,-22,3,5
ITALIANO B,6,0,3,3,10,72,-62,3,2
NUEVA CHICAGO,1,0,0,1,0,20,-20,0,5
