EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
SAN FERNANDO AZUL (A),14,13,1,0,1079,637,442,27
PRESIDENTE DERQUI,14,13,1,0,1100,708,392,27
COMUNICACIONES,13,13,0,0,1264,420,844,26
OBRAS BASKET,13,13,0,0,1288,591,697,26
CAZA Y PESCA BLANCO B,13,13,0,0,1043,497,546,26
SOCIAL BECCAR,14,11,3,0,1190,710,480,25
BANADE ROJO,13,12,1,0,1106,639,467,25
CLUB 3 DE FEBRERO BLANCO A,13,11,2,0,1333,661,672,24
PLATENSE BLANCO,13,11,2,0,758,552,206,24
CAZA Y PESCA AZUL A,14,9,5,0,1202,737,465,23
NAUTICO BUCHARDO A,14,9,5,0,997,664,333,23
SAN FERNANDO BLANCO (B),14,9,5,0,801,666,135,23
COPELLO,13,10,3,0,928,794,134,23
SPORTIVO ESCOBAR,11,11,0,0,907,527,380,22
UNION FLORIDA,14,8,6,0,791,716,75,22
RIVER PLATE,12,9,3,0,842,619,223,21
UNION VECINAL DE MUNRO,13,8,5,0,903,740,163,21
CIUDAD DE BUENOS AIRES BLANCO B,13,8,5,0,796,693,103,21
"VICTORIA NEGRO ""A""",14,7,7,0,891,826,65,21
"NAUTICO HACOAJ BLANCO ""A""",14,7,7,0,899,844,55,21
CIUDAD DE BUENOS AIRES AZUL A,13,7,6,0,858,842,16,20
CLUB SPORTIVO PILAR,11,8,3,0,818,585,233,19
PLATENSE MARRON,12,8,3,0,770,675,95,19
BANCO PROVINCIA,13,6,7,0,765,747,18,19
NAUTICO BUCHARDO B,14,5,9,0,785,834,-49,19
CLUB SOCIAL Y DEPORTIVO ARENAL,14,5,9,0,784,887,-103,19
CLUB ATLETICO PILAR,10,8,2,0,891,513,378,18
"NAUTICO HACOAJ AZUL ""B""",13,5,8,0,573,697,-124,18
HARRODS GATH Y CHAVES,13,5,8,0,738,876,-138,18
SPORTIVO VILLA BALLESTER,13,5,8,0,609,772,-163,18
CLUB 3 DE FEBRERO AZUL B,12,5,7,0,733,781,-48,17
UNIVERSIDAD DE BUENOS AIRES,13,4,9,0,691,786,-95,17
SAN ANDRES,12,5,7,0,685,999,-314,17
COOPERATIVA TORTUGUITAS,14,2,12,0,629,990,-361,16
LAS HERAS A,13,3,10,0,548,977,-429,16
INDEPENDIENTE DE ESCOBAR,11,3,8,0,619,789,-170,14
17 DE AGOSTO,12,2,10,0,581,831,-250,14
CIRCULO URQUIZA,13,2,10,1,610,1104,-494,14
CLUB 3 DE FEBRERO CELESTE C,13,1,12,0,371,930,-559,14
BELLA VISTA,14,0,14,0,473,1428,-955,14
"VICTORIA BLANCO ""B""",13,1,11,1,449,707,-258,13
BANCO NACION BLANCO B,11,2,9,0,435,726,-291,13
U.V.V.A UNION VECINAL VILLA ADELINA,12,1,11,0,555,927,-372,13
BANCO NACION AZUL A,12,1,11,0,518,951,-433,13
ATLETICO BOULOGNE,13,0,13,0,324,1375,-1051,13
CENTRO GALICIA,12,0,11,0,457,935,-478,11
HEBRAICA,10,1,8,1,328,810,-482,10
