EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
SOCIAL BECCAR,14,14,0,0,1251,521,730,28
SAN FERNANDO AZUL (A),14,14,0,0,1216,574,642,28
COMUNICACIONES,13,13,0,0,1294,359,935,26
OBRAS BASKET,13,13,0,0,1184,718,466,26
CAZA Y PESCA AZUL A,14,11,3,0,1196,660,536,25
CAZA Y PESCA BLANCO B,13,12,1,0,998,526,472,25
CLUB 3 DE FEBRERO BLANCO A,13,11,2,0,1719,491,1228,24
SAN FERNANDO BLANCO (B),14,10,4,0,818,595,223,24
PRESIDENTE DERQUI,14,9,5,0,940,847,93,23
CLUB SPORTIVO PILAR,11,11,0,0,1026,388,638,22
UNION FLORIDA,13,9,4,0,826,629,197,22
COPELLO,13,9,4,0,757,864,-107,22
"NAUTICO HACOAJ BLANCO ""A""",14,8,6,0,795,909,-114,22
CIUDAD DE BUENOS AIRES AZUL A,13,8,5,0,887,686,201,21
RIVER PLATE,12,9,3,0,967,788,179,21
BANCO PROVINCIA,13,8,5,0,809,670,139,21
CIUDAD DE BUENOS AIRES BLANCO B,13,8,5,0,687,565,122,21
PLATENSE BLANCO,13,8,5,0,656,571,85,21
U.V.V.A UNION VECINAL VILLA ADELINA,12,8,4,0,785,727,58,20
HARRODS GATH Y CHAVES,13,7,6,0,817,766,51,20
UNIVERSIDAD DE BUENOS AIRES,13,8,4,1,635,606,29,20
SPORTIVO VILLA BALLESTER,13,7,6,0,642,734,-92,20
BELLA VISTA,14,6,8,0,919,1024,-105,20
NAUTICO BUCHARDO B,14,6,8,0,548,686,-138,20
SPORTIVO ESCOBAR,11,8,3,0,973,496,477,19
CLUB 3 DE FEBRERO AZUL B,12,7,5,0,976,630,346,19
UNION VECINAL DE MUNRO,13,6,7,0,709,761,-52,19
CLUB SOCIAL Y DEPORTIVO ARENAL,14,5,9,0,684,967,-283,19
SAN ANDRES,13,6,7,0,602,1023,-421,19
"VICTORIA BLANCO ""B""",13,5,8,0,513,741,-228,18
CLUB ATLETICO PILAR,10,7,3,0,890,487,403,17
"VICTORIA NEGRO ""A""",14,3,11,0,802,813,-11,17
CLUB 3 DE FEBRERO CELESTE C,13,4,9,0,618,749,-131,17
17 DE AGOSTO,13,4,9,0,559,830,-271,17
NAUTICO BUCHARDO A,13,4,8,1,598,721,-123,16
BANADE ROJO,13,2,11,0,699,816,-117,15
BANCO NACION AZUL A,12,2,10,0,655,855,-200,14
INDEPENDIENTE DE ESCOBAR,11,3,8,0,495,888,-393,14
CIRCULO URQUIZA,13,2,10,1,496,995,-499,14
COOPERATIVA TORTUGUITAS,14,0,14,0,455,1213,-758,14
PLATENSE MARRON,12,2,9,1,668,773,-105,13
"NAUTICO HACOAJ AZUL ""B""",13,0,13,0,427,832,-405,13
BANCO NACION BLANCO B,11,2,9,0,254,930,-676,13
ATLETICO BOULOGNE,13,0,13,0,376,1098,-722,13
LAS HERAS A,13,0,13,0,421,1194,-773,13
CENTRO GALICIA,12,0,11,1,293,1024,-731,11
HEBRAICA,10,0,10,0,187,982,-795,10
