EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
CAZA Y PESCA AZUL A,14,12,2,0,1232,838,394,26
OBRAS BASKET,14,12,2,0,1242,917,325,26
SOCIAL BECCAR,14,12,2,0,1033,747,286,26
COMUNICACIONES,13,12,1,0,1008,802,206,25
CAZA Y PESCA BLANCO B,13,11,2,0,994,694,300,24
CIUDAD DE BUENOS AIRES BLANCO B,13,11,2,0,882,638,244,24
CLUB 3 DE FEBRERO BLANCO A,13,11,2,0,952,752,200,24
"NAUTICO HACOAJ BLANCO ""A""",13,10,3,0,989,732,257,23
PLATENSE BLANCO,13,10,3,0,921,694,227,23
RIVER PLATE,12,11,1,0,934,733,201,23
SAN FERNANDO BLANCO (B),14,9,5,0,876,681,195,23
PLATENSE MARRON,13,10,3,0,979,862,117,23
SPORTIVO ESCOBAR,11,10,1,0,961,587,374,21
SAN FERNANDO AZUL (A),12,9,3,0,937,700,237,21
UNION VECINAL DE MUNRO,12,9,3,0,810,704,106,21
NAUTICO BUCHARDO A,13,8,5,0,895,827,68,21
CLUB SPORTIVO PILAR,11,9,2,0,867,614,253,20
SAN ANDRES,12,8,4,0,999,806,193,20
PRESIDENTE DERQUI,12,8,4,0,816,674,142,20
UNIVERSIDAD DE BUENOS AIRES,13,7,6,0,852,817,35,20
BANADE ROJO,14,7,6,1,853,832,21,20
CIUDAD DE BUENOS AIRES AZUL A,13,7,5,0,939,859,80,19
LAS HERAS A,13,6,7,0,737,741,-4,19
NAUTICO BUCHARDO B,14,5,9,0,710,866,-156,19
CLUB ATLETICO PILAR,10,8,2,0,786,584,202,18
UNION FLORIDA,12,6,6,0,765,795,-30,18
SPORTIVO VILLA BALLESTER,13,5,8,0,765,889,-124,18
"VICTORIA NEGRO ""A""",13,5,8,0,795,1003,-208,18
BANCO PROVINCIA,14,4,9,0,837,860,-23,17
CLUB SOCIAL Y DEPORTIVO ARENAL,13,4,9,0,790,832,-42,17
"NAUTICO HACOAJ AZUL ""B""",13,4,9,0,656,757,-101,17
CIRCULO URQUIZA,13,4,9,0,760,863,-103,17
COPELLO,13,4,9,0,819,923,-104,17
HARRODS GATH Y CHAVES,14,3,11,0,863,1075,-212,17
BANCO NACION AZUL A,12,4,8,0,850,886,-36,16
CLUB 3 DE FEBRERO AZUL B,12,4,8,0,644,747,-103,16
HEBRAICA,10,5,5,0,637,619,18,15
ATLETICO BOULOGNE,13,2,11,0,675,926,-251,15
CLUB 3 DE FEBRERO CELESTE C,13,2,11,0,582,840,-258,15
U.V.V.A UNION VECINAL VILLA ADELINA,13,1,12,0,814,1049,-235,14
BELLA VISTA,11,3,8,0,639,932,-293,14
"VICTORIA BLANCO ""B""",13,1,12,0,478,929,-451,14
COOPERATIVA TORTUGUITAS,14,0,14,0,649,1136,-487,14
INDEPENDIENTE DE ESCOBAR,11,2,9,0,562,830,-268,13
17 DE AGOSTO,12,1,10,1,595,859,-264,12
CENTRO GALICIA,12,0,12,0,622,1074,-452,12
BANCO NACION BLANCO B,11,0,11,0,478,954,-476,11
