EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
CLUB 3 DE FEBRERO BLANCO A,12,12,0,0,1347,328,1019,24
CAZA Y PESCA AZUL A,12,12,0,0,1297,484,813,24
NAUTICO BUCHARDO B,13,11,1,1,636,330,306,23
"NAUTICO HACOAJ AZUL ""B""",13,10,3,0,551,351,200,23
UNION FLORIDA,11,11,0,0,936,324,612,22
RIVER PLATE,11,11,0,0,712,401,311,22
SPORTIVO VILLA BALLESTER,12,10,2,0,668,497,171,22
"NAUTICO HACOAJ BLANCO ""A""",13,9,4,0,855,714,141,22
CIUDAD DE BUENOS AIRES AZUL A,12,9,3,0,650,449,201,21
PRESIDENTE DERQUI,11,9,2,0,894,445,449,20
U.V.V.A UNION VECINAL VILLA ADELINA,11,9,2,0,744,336,408,20
CENTRO GALICIA,12,8,4,0,703,526,177,20
CLUB SPORTIVO PILAR,10,9,1,0,818,356,462,19
SAN FERNANDO AZUL (A),12,7,5,0,882,610,272,19
CLUB ATLETICO PILAR,11,8,3,0,680,464,216,19
PLATENSE MARRON,12,7,5,0,645,517,128,19
COMUNICACIONES,12,7,5,0,532,576,-44,19
CLUB SOCIAL Y DEPORTIVO ARENAL,13,6,7,0,769,825,-56,19
INDEPENDIENTE DE ESCOBAR,11,7,4,0,618,479,139,18
COPELLO,12,7,4,1,579,556,23,18
HARRODS GATH Y CHAVES,12,6,6,0,638,642,-4,18
CIUDAD DE BUENOS AIRES BLANCO B,12,6,6,0,408,442,-34,18
CLUB 3 DE FEBRERO AZUL B,10,7,3,0,591,439,152,17
SAN FERNANDO BLANCO (B),11,7,3,1,406,338,68,17
LAS HERAS A,12,5,7,0,580,605,-25,17
"VICTORIA NEGRO ""A""",13,4,9,0,545,929,-384,17
OBRAS BASKET,12,4,8,0,656,664,-8,16
SAN ANDRES,12,4,8,0,522,708,-186,16
UNION VECINAL DE MUNRO,10,6,3,1,692,390,302,15
SOCIAL BECCAR,10,5,5,0,485,526,-41,15
CAZA Y PESCA BLANCO B,11,4,7,0,348,421,-73,15
COOPERATIVA TORTUGUITAS,13,2,11,0,411,964,-553,15
17 DE AGOSTO,12,2,10,0,349,676,-327,14
BANADE ROJO,11,3,7,1,488,579,-91,13
SPORTIVO ESCOBAR,10,3,7,0,526,642,-116,13
BANCO NACION AZUL A,12,1,11,0,334,805,-471,13
HEBRAICA,10,2,8,0,436,494,-58,12
NAUTICO BUCHARDO A,12,2,8,2,275,587,-312,12
BANCO PROVINCIA,11,1,10,0,289,623,-334,12
CLUB 3 DE FEBRERO CELESTE C,9,2,7,0,255,357,-102,11
BELLA VISTA,11,0,11,0,345,1027,-682,11
CIRCULO URQUIZA,12,0,10,2,134,765,-631,10
BANCO NACION BLANCO B,10,0,10,0,186,981,-795,10
ATLETICO BOULOGNE,10,0,10,0,60,918,-858,10
PLATENSE BLANCO,10,0,9,1,177,474,-297,9
"VICTORIA BLANCO ""B""",7,1,4,2,167,235,-68,6
UNIVERSIDAD DE BUENOS AIRES,1,0,0,1,0,20,-20,0
