EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
CAZA Y PESCA BLANCO B,13,13,0,0,860,332,528,26
CAZA Y PESCA AZUL A,13,12,1,0,1147,432,715,25
OBRAS BASKET,12,12,0,0,1258,466,792,24
CLUB 3 DE FEBRERO BLANCO A,12,12,0,0,861,445,416,24
CIUDAD DE BUENOS AIRES BLANCO B,13,11,2,0,623,429,194,24
BANADE ROJO,12,11,1,0,964,402,562,23
PRESIDENTE DERQUI,12,11,1,0,854,525,329,23
UNION FLORIDA,13,10,3,0,692,484,208,23
"NAUTICO HACOAJ AZUL ""B""",13,10,3,0,595,458,137,23
PLATENSE MARRON,12,10,2,0,783,502,281,22
U.V.V.A UNION VECINAL VILLA ADELINA,12,10,1,1,772,339,433,21
"VICTORIA NEGRO ""A""",13,8,5,0,839,663,176,21
SPORTIVO VILLA BALLESTER,12,9,3,0,558,461,97,21
"NAUTICO HACOAJ BLANCO ""A""",13,8,5,0,771,705,66,21
COPELLO,12,8,4,0,655,392,263,20
RIVER PLATE,12,8,4,0,743,552,191,20
SOCIAL BECCAR,13,7,6,0,470,580,-110,20
CLUB SPORTIVO PILAR,10,9,1,0,922,263,659,19
SPORTIVO ESCOBAR,10,9,1,0,839,305,534,19
BANCO PROVINCIA,12,7,5,0,588,588,0,19
UNION VECINAL DE MUNRO,13,5,8,0,533,509,24,18
SAN FERNANDO BLANCO (B),12,6,6,0,443,433,10,18
17 DE AGOSTO,12,6,6,0,579,610,-31,18
CLUB ATLETICO PILAR,11,7,3,1,684,467,217,17
SAN FERNANDO AZUL (A),12,5,7,0,720,572,148,17
COMUNICACIONES,12,5,7,0,645,564,81,17
LAS HERAS A,12,5,7,0,593,588,5,17
NAUTICO BUCHARDO B,13,5,6,2,445,523,-78,16
INDEPENDIENTE DE ESCOBAR,11,5,6,0,415,531,-116,16
NAUTICO BUCHARDO A,13,5,6,2,393,526,-133,16
CIUDAD DE BUENOS AIRES AZUL A,12,4,8,0,556,737,-181,16
CENTRO GALICIA,12,4,8,0,552,834,-282,16
CLUB SOCIAL Y DEPORTIVO ARENAL,13,3,10,0,341,861,-520,16
SAN ANDRES,12,3,9,0,425,642,-217,15
HARRODS GATH Y CHAVES,12,3,9,0,432,747,-315,15
PLATENSE BLANCO,12,3,8,1,466,518,-52,14
COOPERATIVA TORTUGUITAS,13,2,10,1,488,800,-312,14
ATLETICO BOULOGNE,12,2,10,0,414,754,-340,14
CLUB 3 DE FEBRERO AZUL B,10,3,7,0,455,610,-155,13
HEBRAICA,10,3,7,0,430,639,-209,13
CLUB 3 DE FEBRERO CELESTE C,12,1,11,0,279,569,-290,13
"VICTORIA BLANCO ""B""",12,1,11,0,300,749,-449,13
BANCO NACION AZUL A,12,0,12,0,390,876,-486,12
BELLA VISTA,11,1,10,0,303,905,-602,12
UNIVERSIDAD DE BUENOS AIRES,12,0,12,0,227,871,-644,12
CIRCULO URQUIZA,12,0,11,1,187,801,-614,11
BANCO NACION BLANCO B,10,0,10,0,90,1020,-930,10
