EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
CENTRO GALICIA,12,12,0,0,622,223,399,24
CLUB 3 DE FEBRERO BLANCO A,12,11,1,0,372,166,206,23
SPORTIVO VILLA BALLESTER,12,10,2,0,300,184,116,22
CLUB SOCIAL Y DEPORTIVO ARENAL,13,9,4,0,417,314,103,22
PRESIDENTE DERQUI,11,10,1,0,460,176,284,21
U.V.V.A UNION VECINAL VILLA ADELINA,11,10,0,0,286,156,130,21
CAZA Y PESCA AZUL A,12,9,3,0,396,268,128,21
"NAUTICO HACOAJ BLANCO ""A""",13,8,5,0,334,382,-48,21
BANCO NACION AZUL A,12,9,2,0,336,222,114,20
CIRCULO URQUIZA,12,9,1,1,238,128,110,20
PLATENSE MARRON,12,8,4,0,282,237,45,20
SPORTIVO ESCOBAR,10,9,1,0,398,190,208,19
CLUB SPORTIVO PILAR,10,8,2,0,464,206,258,18
UNION FLORIDA,11,8,1,0,259,90,169,18
UNION VECINAL DE MUNRO,11,7,4,0,312,178,134,18
BANCO PROVINCIA,12,6,6,0,348,319,29,18
CIUDAD DE BUENOS AIRES AZUL A,12,6,6,0,353,364,-11,18
HEBRAICA,9,8,1,0,450,204,246,17
BANADE ROJO,11,6,4,0,252,229,23,17
COPELLO,12,5,7,0,255,313,-58,17
17 DE AGOSTO,11,6,4,1,155,172,-17,16
COOPERATIVA TORTUGUITAS,13,4,8,0,250,366,-116,16
RIVER PLATE,12,4,7,0,391,334,57,15
NAUTICO BUCHARDO A,12,4,6,0,158,167,-9,15
COMUNICACIONES,12,3,9,0,116,207,-91,15
SAN FERNANDO AZUL (A),12,3,9,0,220,326,-106,15
"VICTORIA NEGRO ""A""",13,2,10,0,196,310,-114,14
OBRAS BASKET,12,2,10,0,333,463,-130,14
BELLA VISTA,11,3,8,0,194,325,-131,14
SAN ANDRES,12,1,11,0,129,285,-156,13
CLUB ATLETICO PILAR,9,3,6,0,176,270,-94,12
LAS HERAS A,11,1,9,0,102,212,-110,12
HARRODS GATH Y CHAVES,12,0,12,0,46,549,-503,12
ATLETICO BOULOGNE,10,1,9,0,155,310,-155,11
CLUB 3 DE FEBRERO AZUL B,8,2,6,0,120,202,-82,10
SOCIAL BECCAR,10,0,10,0,113,325,-212,10
BANCO NACION BLANCO B,10,1,8,0,122,368,-246,10
INDEPENDIENTE DE ESCOBAR,10,1,8,0,102,392,-290,10
"NAUTICO HACOAJ AZUL ""B""",7,4,1,0,62,42,20,9
CAZA Y PESCA BLANCO B,8,3,2,0,72,50,22,8
CIUDAD DE BUENOS AIRES BLANCO B,7,2,3,0,46,32,14,7
NAUTICO BUCHARDO B,7,3,1,0,36,34,2,7
CLUB 3 DE FEBRERO CELESTE C,5,0,3,0,24,42,-18,3
UNIVERSIDAD DE BUENOS AIRES,2,0,1,1,4,84,-80,1
LIBRE,1,0,0,1,0,20,-20,0
PLATENSE BLANCO,1,0,0,1,0,20,-20,0
