EQUIPO,PJ,PG,PP,NP,PF,PC,puntos,DP
OBRAS BASKET,62,38,0,0,4719,2902,100.0,1817
CAZA Y PESCA AZUL A,65,32,9,0,5238,2581,97.0,2657
CLUB 3 DE FEBRERO BLANCO A,62,34,4,0,5632,2091,96.0,3541
SAN FERNANDO AZUL (A),64,32,8,0,4117,2719,96.0,1398
PRESIDENTE DERQUI,62,33,7,0,4248,2701,95.0,1547
COMUNICACIONES,62,31,7,0,3851,2126,93.0,1725
CAZA Y PESCA BLANCO B,58,38,1,0,3321,1826,93.0,1495
SOCIAL BECCAR,61,32,9,0,3509,2662,93.0,847
"NAUTICO HACOAJ BLANCO ""A""",67,23,18,0,3654,3554,90.0,100
UNION FLORIDA,62,27,13,0,3504,2243,88.0,1261
COPELLO,62,27,11,0,3174,2919,88.0,255
RIVER PLATE,59,26,10,0,3655,2694,84.0,961
BANADE ROJO,60,25,13,0,3509,2665,84.0,844
"VICTORIA NEGRO ""A""",67,18,23,0,3273,3541,84.0,-268
CIUDAD DE BUENOS AIRES BLANCO B,58,27,12,0,2560,2161,83.0,399
SPORTIVO VILLA BALLESTER,62,21,17,0,2777,2648,83.0,129
BANCO PROVINCIA,61,21,17,0,2799,2947,82.0,-148
CIUDAD DE BUENOS AIRES AZUL A,62,19,19,0,3304,3078,81.0,226
CLUB SPORTIVO PILAR,52,28,4,0,4048,1798,80.0,2250
SPORTIVO ESCOBAR,52,28,4,0,3643,2160,80.0,1483
CLUB SOCIAL Y DEPORTIVO ARENAL,67,13,28,0,2995,3854,80.0,-859
UNION VECINAL DE MUNRO,60,19,20,0,3149,2578,78.0,571
PLATENSE MARRON,60,20,14,0,3148,2704,78.0,444
HARRODS GATH Y CHAVES,62,15,23,0,2671,3580,77.0,-909
U.V.V.A UNION VECINAL VILLA ADELINA,58,19,16,1,3142,2485,76.0,657
NAUTICO BUCHARDO A,64,18,19,2,2421,2665,76.0,-244
SAN FERNANDO BLANCO (B),51,25,15,0,2468,2032,75.0,436
SAN ANDRES,61,14,23,0,2363,3657,75.0,-1294
CLUB ATLETICO PILAR,51,22,8,1,3321,2201,72.0,1120
"NAUTICO HACOAJ AZUL ""B""",59,15,24,0,2208,2380,72.0,-172
NAUTICO BUCHARDO B,61,16,23,2,2450,2407,71.0,43
17 DE AGOSTO,60,12,25,1,2223,3119,71.0,-896
LAS HERAS A,61,8,30,0,2244,3576,69.0,-1332
COOPERATIVA TORTUGUITAS,67,4,36,1,2233,4333,69.0,-2100
PLATENSE BLANCO,49,22,15,2,2057,2135,68.0,-78
BELLA VISTA,61,7,32,0,2234,4709,68.0,-2475
CLUB 3 DE FEBRERO AZUL B,52,15,19,0,2875,2662,67.0,213
INDEPENDIENTE DE ESCOBAR,54,11,22,0,2249,3079,64.0,-830
CENTRO GALICIA,60,4,30,0,2627,3542,62.0,-915
BANCO NACION AZUL A,60,3,33,0,2233,3709,62.0,-1476
CIRCULO URQUIZA,62,4,31,5,1665,3793,60.0,-2128
ATLETICO BOULOGNE,58,2,36,0,1329,4455,60.0,-3126
CLUB 3 DE FEBRERO CELESTE C,52,6,32,0,1547,2647,56.0,-1100
BANCO NACION BLANCO B,52,4,28,0,1087,4025,55.0,-2938
HEBRAICA,49,4,25,1,1831,3129,52.0,-1298
UNIVERSIDAD DE BUENOS AIRES,41,12,25,2,1557,2367,50.0,-810
"VICTORIA BLANCO ""B""",45,7,30,2,1429,2432,49.0,-1003
LIBRE,1,0,0,1,0,20,0.0,-20
