EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
SAN MIGUEL Verde,14,14,0,0,1275,628,647,28
ESTUDIANTIL PORTE�O A,14,14,0,0,1268,648,620,28
VELEZ SARSFIELD BLANCO - A,14,13,1,0,1244,652,592,27
ESTUDIANTIL PORTE�O B,14,13,1,0,1037,638,399,27
INSTITUCION SARMIENTO VERDE A,14,12,2,0,1140,699,441,26
C.A.S.A PADUA A,13,12,1,0,1081,525,556,25
GEVP BLANCO A,14,11,3,0,1227,743,484,25
MORON ROJO,14,11,3,0,1142,672,470,25
DEP. MORON BLANCO,14,11,3,0,1070,709,361,25
INDIOS U17 NEGRO,14,11,2,1,1112,542,570,24
ARGENTINO DE CASTELAR NORTE A,13,11,2,0,1156,605,551,24
CLUB GEI AZUL (A),13,11,2,0,1065,588,477,24
MORON BLANCO,12,10,2,0,780,454,326,22
INDIOS U17 BLANCO,12,10,2,0,785,545,240,22
PORTE�O AZUL A,13,9,4,0,808,637,171,22
HURACAN DE SAN JUSTO ROJO,14,8,6,0,871,811,60,22
A.F.A.L.P. A,14,8,6,0,827,880,-53,22
DEP. MORON ROJO,11,10,1,0,630,328,302,21
ARGENTINO DE CASTELAR CENTRO B,12,9,3,0,793,540,253,21
EL PALOMAR,14,7,7,0,615,747,-132,21
SAN MIGUEL BLANCO,11,9,2,0,631,357,274,20
CLUB GEI BLANCO (B),13,7,6,0,790,715,75,20
DEFENSORES DE HURLINGHAM VERDE A,14,6,8,0,822,807,15,20
ATENEO POPULAR VERSAILLES,14,6,8,0,798,910,-112,20
INSTITUCION SARMIENTO BLANCO B,13,6,7,0,725,666,59,19
LEANDRO N ALEM,13,6,7,0,789,855,-66,19
MIDLAND,13,6,7,0,768,852,-84,19
SITAS,13,4,9,0,622,931,-309,17
DEFENSORES DE SANTOS LUGARES,14,3,11,0,620,990,-370,17
DEFENSORES DE HURLINGHAM  BLANCO B,14,3,11,0,590,990,-400,17
PORTE�O BLANCO B,11,5,6,0,515,548,-33,16
DEFENSORES DE MORENO NEGRO,11,5,6,0,646,743,-97,16
C.A.S.A PADUA B,13,3,10,0,593,738,-145,16
UNITARIOS DE MARCOS PAZ,14,3,10,1,645,934,-289,16
PASO DEL REY SOCIAL CLUB,13,3,10,0,547,918,-371,16
EL PORVENIR JOSE C. PAZ,14,3,10,1,582,1008,-426,16
CLUB PORTUGUES DEL GRAN BUENOS AIRES,14,2,12,0,478,1027,-549,16
HURACAN DE SAN JUSTO BLANCO,12,3,9,0,524,653,-129,15
CEDEM,13,2,11,0,701,940,-239,15
CENTRO ESPA�OL,14,1,13,0,551,1094,-543,15
CLUB CEPA,14,1,13,0,489,1211,-722,15
RAMOS MEJIA LTC,13,1,12,0,497,979,-482,14
ARGENTINO DE CASTELAR SUR C,11,2,9,0,462,592,-130,13
ITALIANO DE JOSE C PAZ,12,1,11,0,414,842,-428,13
CIUDADELA NORTE,13,0,13,0,414,1157,-743,13
SPORTIVO HAEDO,11,0,11,0,366,847,-481,11
DEFENSORES DE MORENO ROJO,10,0,10,0,189,799,-610,10
