EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
INDIOS U15 NEGRO,14,14,0,0,1467,421,1046,28
VELEZ SARSFIELD BLANCO - A,14,14,0,0,1344,583,761,28
ESTUDIANTIL PORTE�O A,14,13,1,0,1333,646,687,27
ESTUDIANTIL PORTE�O B,14,13,1,0,1123,505,618,27
MORON ROJO,14,13,1,0,1193,580,613,27
SAN MIGUEL Verde,14,12,2,0,1242,512,730,26
C.A.S.A PADUA A,13,13,0,0,1070,480,590,26
ARGENTINO DE CASTELAR NORTE A,13,12,1,0,1219,543,676,25
INSTITUCION SARMIENTO VERDE A,13,11,2,0,1191,529,662,24
MORON BLANCO,12,12,0,0,875,299,576,24
DEFENSORES DE HURLINGHAM VERDE A,14,10,4,0,1026,643,383,24
GEVP BLANCO A,14,9,5,0,1295,760,535,23
C.A.S.A PADUA B,13,10,3,0,878,548,330,23
ATENEO POPULAR VERSAILLES,14,9,5,0,881,801,80,23
LEANDRO N ALEM,14,9,5,0,709,642,67,23
CLUB GEI AZUL (A),13,9,4,0,1069,612,457,22
PORTE�O AZUL A,14,8,6,0,733,819,-86,22
DEP. MORON BLANCO,14,7,7,0,932,930,2,21
HURACAN DE SAN JUSTO ROJO,14,7,7,0,800,850,-50,21
EL PALOMAR,14,7,7,0,822,892,-70,21
DEP. MORON ROJO,11,9,2,0,694,332,362,20
INSTITUCION SARMIENTO BLANCO B,13,7,6,0,837,772,65,20
MIDLAND,13,7,6,0,711,822,-111,20
SPORTIVO HAEDO,12,9,1,1,645,492,153,19
SAN MIGUEL BLANCO,11,8,3,0,521,412,109,19
PASO DEL REY SOCIAL CLUB,14,5,9,0,539,923,-384,19
A.F.A.L.P. A,13,5,8,0,748,846,-98,18
ITALIANO DE JOSE C PAZ,13,5,8,0,600,932,-332,18
INDIOS U15 BLANCO,13,5,7,0,707,700,7,17
HURACAN DE SAN JUSTO BLANCO,12,5,7,0,516,563,-47,17
CIUDADELA NORTE,13,4,9,0,588,995,-407,17
CLUB CEPA,14,3,11,0,644,1111,-467,17
CLUB GEI BLANCO (B),13,3,10,0,603,742,-139,16
SITAS,13,3,10,0,671,914,-243,16
CENTRO ESPA�OL,14,2,12,0,544,1188,-644,16
PORTE�O BLANCO B,11,4,7,0,443,515,-72,15
ARGENTINO DE CASTELAR CENTRO B,12,3,9,0,540,742,-202,15
UNITARIOS DE MARCOS PAZ,14,1,13,0,445,970,-525,15
CLUB PORTUGUES DEL GRAN BUENOS AIRES,14,2,11,1,444,1014,-570,15
CEDEM,13,2,11,0,468,1052,-584,15
DEFENSORES DE HURLINGHAM  BLANCO B,14,1,13,0,235,1067,-832,15
ARGENTINO DE CASTELAR SUR C,12,2,10,0,279,799,-520,14
EL PORVENIR JOSE C. PAZ,14,1,12,1,406,1055,-649,14
DEFENSORES DE SANTOS LUGARES,14,0,14,0,299,1248,-949,14
RAMOS MEJIA LTC,13,0,13,0,411,1139,-728,13
DEFENSORES DE MORENO NEGRO,13,1,9,3,310,702,-392,11
DEFENSORES DE MORENO ROJO,11,0,5,6,88,496,-408,5
