EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
INDIOS U21 NEGRO,14,14,0,0,1345,514,831,28
"ESTUDIANTIL PORTE�O  ""A""",14,14,0,0,1240,726,514,28
GEVP BLANCO A,14,12,2,0,1090,680,410,26
ATENEO POPULAR VERSAILLES,14,12,2,0,996,747,249,26
SAN MIGUEL Verde,14,11,3,0,1168,734,434,25
C.A.S.A PADUA A,14,11,3,0,1110,889,221,25
ARGENTINO DE CASTELAR NORTE A,14,11,3,0,1112,908,204,25
INSTITUCION SARMIENTO BLANCO B,14,11,3,0,859,754,105,25
MORON ROJO,13,11,2,0,1267,634,633,24
CLUB GEI AZUL (A),13,11,2,0,1043,831,212,24
ESTUDIANTIL PORTE�O B,14,10,4,0,930,755,175,24
ARGENTINO DE CASTELAR CENTRO B,13,11,2,0,878,715,163,24
PORTE�O AZUL A,14,10,4,0,923,772,151,24
MORON BLANCO,12,11,1,0,836,498,338,23
INSTITUCION SARMIENTO VERDE A,13,10,3,0,1000,676,324,23
DEFENSORES DE HURLINGHAM VERDE A,13,10,3,0,883,577,306,23
DEP. MORON BLANCO,14,8,6,0,1092,885,207,22
CLUB CEPA,14,8,6,0,1056,1069,-13,22
LEANDRO N ALEM,14,7,7,0,685,790,-105,21
DEP. MORON ROJO,11,9,2,0,680,514,166,20
A.F.A.L.P. A,13,7,6,0,996,868,128,20
VELEZ SARSFIELD BLANCO - A,14,7,6,1,912,795,117,20
MIDLAND,13,7,6,0,971,895,76,20
INDIOS U21 BLANCO,12,8,4,0,768,724,44,20
SITAS,14,6,8,0,807,973,-166,20
SAN MIGUEL BLANCO,11,8,3,0,722,586,136,19
PORTE�O BLANCO B,12,7,5,0,655,635,20,19
C.A.S.A PADUA B,13,6,7,0,692,782,-90,19
HURACAN DE SAN JUSTO ROJO,14,4,10,0,905,977,-72,18
RAMOS MEJIA LTC,14,4,10,0,738,997,-259,18
DEFENSORES DE MORENO NEGRO,12,6,5,1,683,754,-71,17
DEFENSORES DE HURLINGHAM  BLANCO B,14,2,12,0,659,798,-139,16
UNITARIOS DE MARCOS PAZ,14,2,12,0,763,975,-212,16
CEDEM,13,3,10,0,566,913,-347,16
EL PORVENIR JOSE C. PAZ,14,2,12,0,589,980,-391,16
PASO DEL REY SOCIAL CLUB,14,2,12,0,572,1045,-473,16
EL PALOMAR,14,2,12,0,528,1066,-538,16
CIUDADELA NORTE,13,2,11,0,615,933,-318,15
CLUB PORTUGUES DEL GRAN BUENOS AIRES,14,1,13,0,671,1087,-416,15
DEFENSORES DE SANTOS LUGARES,14,1,13,0,625,1188,-563,15
SPORTIVO HAEDO,11,3,8,0,577,600,-23,14
HURACAN DE SAN JUSTO BLANCO,12,3,8,1,507,701,-194,14
CLUB GEI BLANCO (B),13,1,12,0,590,825,-235,14
ITALIANO DE JOSE C PAZ,12,2,10,0,474,850,-376,14
ARGENTINO DE CASTELAR SUR C,11,2,9,0,520,665,-145,13
CENTRO ESPA�OL,14,0,13,1,477,1174,-697,13
DEFENSORES DE MORENO ROJO B,11,0,11,0,399,720,-321,11
