EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
C.A.S.A PADUA A,12,12,0,0,986,276,710,24
VELEZ SARSFIELD BLANCO - A,12,12,0,0,934,330,604,24
SAN MIGUEL Verde,13,11,2,0,829,506,323,24
MORON ROJO,12,11,1,0,1003,328,675,23
ATENEO POPULAR VERSAILLES,12,11,1,0,909,511,398,23
INDIOS U11 NEGRO,12,11,0,0,1259,332,927,22
INDIOS U11 BLANCO,11,11,0,0,754,194,560,22
ESTUDIANTIL PORTE�O A,11,11,0,0,786,322,464,22
GEVP BLANCO A,12,9,3,0,943,474,469,21
CLUB GEI AZUL (A),12,9,3,0,804,477,327,21
DEP. MORON BLANCO,13,8,5,0,856,635,221,21
MIDLAND,12,9,3,0,598,498,100,21
ARGENTINO DE CASTELAR NORTE A,12,8,4,0,778,448,330,20
DEFENSORES DE HURLINGHAM VERDE A,12,8,4,0,728,502,226,20
A.F.A.L.P. A,13,7,6,0,629,655,-26,20
PORTE�O AZUL A,11,7,4,0,630,538,92,18
CLUB GEI BLANCO (B),10,7,3,0,298,300,-2,17
CLUB CEPA,13,4,9,0,639,914,-275,17
INSTITUCION SARMIENTO VERDE A,13,4,9,0,452,728,-276,17
ARGENTINO DE CASTELAR CENTRO B,10,7,2,0,458,225,233,16
SITAS,12,4,8,0,446,568,-122,16
HURACAN DE SAN JUSTO ROJO,13,3,10,0,529,872,-343,16
CLUB PORTUGUES DEL GRAN BUENOS AIRES,13,3,10,0,446,811,-365,16
CENTRO ESPA�OL,12,4,7,0,519,551,-32,15
LEANDRO N ALEM,10,5,5,0,588,641,-53,15
DEFENSORES DE SANTOS LUGARES,12,3,9,0,403,720,-317,15
UNITARIOS DE MARCOS PAZ,13,2,11,0,414,898,-484,15
DEFENSORES DE MORENO NEGRO,10,4,6,0,350,480,-130,14
CEDEM,12,2,10,0,424,782,-358,14
ITALIANO DE JOSE C PAZ,11,3,8,0,393,761,-368,14
C.A.S.A PADUA B,10,3,7,0,270,400,-130,13
CIUDADELA NORTE,12,1,11,0,343,837,-494,13
EL PALOMAR,14,0,13,0,251,1238,-987,13
INSTITUCION SARMIENTO BLANCO B,9,4,4,0,292,237,55,12
DEFENSORES DE HURLINGHAM  BLANCO B,10,2,8,0,225,477,-252,12
RAMOS MEJIA LTC,12,1,9,0,284,729,-445,11
PASO DEL REY SOCIAL CLUB,11,0,11,0,286,942,-656,11
PORTE�O BLANCO B,6,4,2,0,238,154,84,10
ESTUDIANTIL PORTE�O B,10,0,10,0,112,576,-464,10
MORON BLANCO,6,3,3,0,186,164,22,9
SAN MIGUEL BLANCO,5,3,2,0,165,126,39,8
EL PORVENIR JOSE C. PAZ,8,1,6,0,221,356,-135,8
DEP. MORON ROJO,6,1,5,0,117,231,-114,7
ARGENTINO DE CASTELAR SUR C,3,2,1,0,67,98,-31,5
