EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
INDIOS U13 NEGRO,13,13,0,0,1272,349,923,26
ESTUDIANTIL PORTE�O B,13,13,0,0,682,357,325,26
INSTITUCION SARMIENTO VERDE A,13,12,1,0,1106,600,506,25
VELEZ SARSFIELD BLANCO - A,12,11,1,0,991,378,613,23
GEVP BLANCO,13,10,3,0,1136,556,580,23
SAN MIGUEL Verde,13,10,3,0,970,412,558,23
ARGENTINO DE CASTELAR NORTE A,12,11,1,0,946,404,542,23
CLUB GEI AZUL (A),12,11,1,0,856,328,528,23
ESTUDIANTIL PORTE�O A,12,11,1,0,867,372,495,23
DEP. MORON BLANCO,13,10,3,0,962,636,326,23
MORON ROJO,12,10,2,0,844,425,419,22
SPORTIVO HAEDO,12,10,2,0,574,392,182,22
PORTE�O AZUL A,12,9,3,0,874,370,504,21
C.A.S.A PADUA A,12,8,4,0,877,385,492,20
MIDLAND,12,8,4,0,757,489,268,20
INDIOS U13 BLANCO,12,8,4,0,746,495,251,20
DEFENSORES DE HURLINGHAM VERDE A,12,8,4,0,640,556,84,20
CLUB GEI BLANCO (B),12,7,5,0,542,395,147,19
ATENEO POPULAR VERSAILLES,12,7,5,0,687,574,113,19
MORON BLANCO,9,9,0,0,471,97,374,18
INSTITUCION SARMIENTO BLANCO B,12,6,6,0,521,557,-36,18
CLUB CEPA,13,5,8,0,541,886,-345,18
CENTRO ESPA�OL,13,4,9,0,492,718,-226,17
DEFENSORES DE SANTOS LUGARES,13,4,9,0,467,870,-403,17
UNITARIOS DE MARCOS PAZ,13,4,9,0,445,890,-445,17
SITAS,12,4,8,0,418,733,-315,16
A.F.A.L.P. A,13,3,10,0,496,831,-335,16
EL PORVENIR JOSE C. PAZ,12,5,6,1,307,666,-359,16
CLUB PORTUGUES DEL GRAN BUENOS AIRES,13,3,10,0,407,790,-383,16
RAMOS MEJIA LTC,12,3,9,0,531,673,-142,15
ARGENTINO DE CASTELAR CENTRO B,12,3,9,0,462,625,-163,15
LEANDRO N ALEM,11,4,7,0,381,757,-376,15
CEDEM,12,3,9,0,413,830,-417,15
C.A.S.A PADUA B,12,2,10,0,412,612,-200,14
ITALIANO DE JOSE C PAZ,11,3,8,0,368,691,-323,14
EL PALOMAR,14,0,14,0,335,976,-641,14
DEFENSORES DE HURLINGHAM  BLANCO B,13,0,13,0,286,792,-506,13
HURACAN DE SAN JUSTO ROJO,13,0,13,0,299,956,-657,13
DEFENSORES DE MORENO NEGRO,10,3,6,1,281,536,-255,12
CIUDADELA NORTE,12,0,12,0,306,963,-657,12
PASO DEL REY SOCIAL CLUB,12,0,12,0,279,951,-672,12
PORTE�O BLANCO B,7,3,4,0,257,231,26,10
DEP. MORON ROJO,6,4,2,0,152,181,-29,10
SAN MIGUEL BLANCO,6,1,5,0,119,234,-115,7
ARGENTINO DE CASTELAR SUR C,5,1,4,0,98,245,-147,6
DEFENSORES DE MORENO ROJO,5,1,1,3,37,146,-109,3
