EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GEVP BLANCO A,12,12,0,0,572,95,477,24
C.A.S.A PADUA A,12,12,0,0,492,142,350,24
MORON ROJO,12,11,0,0,240,126,114,23
VELEZ SARSFIELD BLANCO - A,12,10,2,0,474,232,242,22
INSTITUCION SARMIENTO VERDE A,13,9,4,0,411,274,137,22
INDIOS U9 NEGRO,12,10,1,1,355,178,177,21
CLUB GEI AZUL (A),12,9,3,0,412,252,160,21
ARGENTINO DE CASTELAR NORTE A,12,8,4,0,250,136,114,20
ESTUDIANTIL PORTE�O A,11,9,2,0,291,210,81,20
PORTE�O AZUL A,11,9,1,1,330,137,193,19
DEFENSORES DE SANTOS LUGARES,12,7,5,0,219,254,-35,19
A.F.A.L.P. A,13,5,8,0,212,237,-25,18
RAMOS MEJIA LTC,12,6,4,1,206,192,14,17
DEFENSORES DE HURLINGHAM VERDE A,12,5,7,0,215,268,-53,17
MIDLAND,12,6,5,1,187,250,-63,17
ATENEO POPULAR VERSAILLES,12,5,7,0,212,302,-90,17
SITAS,12,4,8,0,187,218,-31,16
UNITARIOS DE MARCOS PAZ,13,5,6,2,250,309,-59,16
EL PALOMAR,14,5,5,4,181,178,3,15
CLUB PORTUGUES DEL GRAN BUENOS AIRES,13,4,7,2,148,213,-65,15
DEP. MORON BLANCO,13,3,9,1,228,304,-76,15
CLUB CEPA,13,2,11,0,112,282,-170,15
INDIOS U9 BLANCO,9,7,0,2,232,52,180,14
ITALIANO DE JOSE C PAZ,10,3,7,0,159,242,-83,13
PASO DEL REY SOCIAL CLUB,10,4,5,1,136,242,-106,13
CEDEM,12,1,11,0,121,471,-350,13
LEANDRO N ALEM,9,3,6,0,207,239,-32,12
SAN MIGUEL Verde,11,2,8,1,169,262,-93,12
HURACAN DE SAN JUSTO ROJO,13,1,10,2,155,422,-267,12
CIUDADELA NORTE,12,0,12,0,106,462,-356,12
ESTUDIANTIL PORTE�O B,7,4,3,0,118,156,-38,11
CENTRO ESPA�OL,12,1,9,2,107,159,-52,11
DEFENSORES DE MORENO NEGRO,10,2,4,4,79,134,-55,8
INSTITUCION SARMIENTO BLANCO B,7,2,3,2,76,81,-5,7
CLUB GEI BLANCO (B),8,1,5,2,83,142,-59,7
PORTE�O BLANCO B,3,3,0,0,56,20,36,6
EL PORVENIR JOSE C. PAZ,9,2,2,5,77,78,-1,6
PREMINI B  ROJO,3,1,2,0,32,46,-14,4
C.A.S.A PADUA B,3,1,2,0,44,90,-46,4
DEFENSORES DE HURLINGHAM  BLANCO B,8,1,0,7,20,0,20,2
ARGENTINO DE CASTELAR CENTRO B,4,0,2,2,18,70,-52,2
SAN MIGUEL BLANCO,2,0,1,1,10,32,-22,1
