EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
VELEZ SARSFIELD BLANCO - A,78,67,10,1,5899,2970,2929,102
INSTITUCION SARMIENTO VERDE A,79,58,21,0,5300,3506,1794,101
SAN MIGUEL Verde,79,60,18,1,5653,3054,2599,100
ESTUDIANTIL PORTE�O A,62,58,4,0,4545,2198,2347,100
MORON ROJO,77,67,9,0,5689,2765,2924,98
ESTUDIANTIL PORTE�O B,72,53,19,0,4002,2987,1015,97
ARGENTINO DE CASTELAR NORTE A,76,61,15,0,5461,3044,2417,96
C.A.S.A PADUA A,76,68,8,0,5616,2697,2919,95
DEP. MORON BLANCO,81,47,33,1,5140,4099,1041,94
CLUB GEI AZUL (A),75,60,15,0,5249,3088,2161,93
DEFENSORES DE HURLINGHAM VERDE A,77,47,30,0,4314,3353,961,88
PORTE�O AZUL A,75,52,22,1,4298,3273,1025,86
ATENEO POPULAR VERSAILLES,78,50,28,0,4483,3845,638,86
MIDLAND,75,43,31,1,3992,3806,186,82
A.F.A.L.P. A,79,35,44,0,3908,4317,-409,82
HURACAN DE SAN JUSTO ROJO,81,23,56,2,3559,4888,-1329,80
EL PALOMAR,84,21,58,5,2732,5097,-2365,79
LEANDRO N ALEM,71,34,37,0,3359,3924,-565,76
CLUB CEPA,81,23,58,0,3481,5473,-1992,76
SITAS,76,25,51,0,3151,4337,-1186,73
GEVP BLANCO A,66,53,13,0,5127,2752,2375,72
UNITARIOS DE MARCOS PAZ,81,17,61,3,2962,4976,-2014,72
DEFENSORES DE SANTOS LUGARES,79,18,61,0,2633,5270,-2637,72
CLUB GEI BLANCO (B),69,26,41,2,2906,3119,-213,71
CLUB PORTUGUES DEL GRAN BUENOS AIRES,81,15,63,3,2594,4942,-2348,71
MORON BLANCO,51,45,6,0,3148,1512,1636,70
INSTITUCION SARMIENTO BLANCO B,68,36,29,3,3310,3067,243,70
CENTRO ESPA�OL,79,12,63,4,2690,4884,-2194,69
CEDEM,75,13,62,0,2693,4988,-2295,69
PASO DEL REY SOCIAL CLUB,74,14,59,1,2359,5021,-2662,67
C.A.S.A PADUA B,64,25,39,0,2889,3170,-281,66
ITALIANO DE JOSE C PAZ,69,17,52,0,2408,4318,-1910,66
CIUDADELA NORTE,75,7,68,0,2372,5347,-2975,66
RAMOS MEJIA LTC,76,15,57,3,2667,4709,-2042,63
ARGENTINO DE CASTELAR CENTRO B,63,33,27,3,3149,2917,232,62
DEP. MORON ROJO,45,33,12,0,2273,1586,687,57
EL PORVENIR JOSE C. PAZ,71,14,48,9,2182,4143,-1961,57
DEFENSORES DE HURLINGHAM  BLANCO B,73,9,57,7,2015,4124,-2109,56
DEFENSORES DE MORENO NEGRO,66,21,36,9,2349,3349,-1000,55
SAN MIGUEL BLANCO,46,29,16,1,2168,1747,421,52
SPORTIVO HAEDO,46,22,22,2,2162,2331,-169,52
PORTE�O BLANCO B,50,26,24,0,2164,2103,61,50
ARGENTINO DE CASTELAR SUR C,42,9,33,0,1426,2399,-973,36
HURACAN DE SAN JUSTO BLANCO,36,11,24,1,1547,1917,-370,32
INDIOS U15 NEGRO,14,14,0,0,1467,421,1046,28
INDIOS U13 NEGRO,13,13,0,0,1272,349,923,26
INDIOS U17 NEGRO,14,11,2,1,1112,542,570,24
GEVP BLANCO,13,10,3,0,1136,556,580,23
INDIOS U17 BLANCO,12,10,2,0,785,545,240,22
INDIOS U13 BLANCO,12,8,4,0,746,495,251,20
DEFENSORES DE MORENO ROJO,26,1,16,9,314,1441,-1127,18
INDIOS U15 BLANCO,13,5,7,1,707,700,7,17
INDIOS U11 NEGRO,12,11,0,1,1259,332,927,11
INDIOS U11 BLANCO,11,11,0,0,754,194,560,11
INDIOS U9 NEGRO,12,10,1,1,355,178,177,11
INDIOS U9 BLANCO,9,7,0,2,232,52,180,7
PREMINI B  ROJO,3,1,2,0,32,46,-14,3
INDIOS U21 NEGRO,14,14,0,0,1345,514,831,0
"ESTUDIANTIL PORTE�O  ""A""",14,14,0,0,1240,726,514,0
INDIOS U21 BLANCO,12,8,4,0,768,724,44,0
DEFENSORES DE MORENO ROJO B,11,0,11,0,399,720,-321,0
