EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,14,14,0,0,1323,490,833,28
BOCA JUNIORS A,13,13,0,0,1422,336,1086,26
LANUS A,14,12,2,0,1166,563,603,26
TEMPERLEY,14,11,3,0,1124,616,508,25
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",12,12,0,0,1266,424,842,24
BOCA JUNIORS AMARILLO,12,12,0,0,1079,510,569,24
DEFENSORES DE BANFIELD,14,10,4,0,986,640,346,24
QUILMES A.C.,12,11,1,0,931,648,283,23
LOS ANDES,14,9,5,0,961,713,248,23
SOCIAL LANUS,14,9,5,0,800,862,-62,23
CA�UELAS FC,12,10,2,0,817,633,184,22
LOBOS ATHLETIC CLUB,12,10,2,0,760,629,131,22
VARELA JRS,12,9,3,0,1040,589,451,21
RACING CLUB,12,10,1,1,866,548,318,21
BERAZATEGUI,12,9,3,0,869,553,316,21
TRISTAN SUAREZ,11,10,1,0,692,473,219,21
BURZACO FC- AZUL A,11,9,2,0,717,484,233,20
INDEPENDIENTE DE BURZACO,12,8,4,0,820,653,167,20
MONTE GRANDE A  ROJO,12,8,4,0,780,616,164,20
CLUB SOCIAL ALEJANDRO KORN,12,8,4,0,745,644,101,20
VILLEGAS BASQUET,13,7,6,0,739,774,-35,20
LANUS B,11,8,3,0,789,552,237,19
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,11,8,3,0,789,567,222,19
OLIMPO,13,6,7,0,725,796,-71,19
COUNTRY BANFIELD A,14,5,9,0,740,819,-79,19
CLUB ATLETICO PAMPERO,14,5,9,0,694,890,-196,19
SPORTIVO ALSINA,14,5,9,0,698,950,-252,19
WILDE SPORTING,12,6,6,0,800,784,16,18
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,12,6,6,0,623,773,-150,18
CLUB SOCIAL EZEIZA,11,6,5,0,728,582,146,17
INDEPENDIENTE ROJO,12,5,7,0,700,757,-57,17
BURZACO FC ROJO B,12,5,7,0,579,836,-257,17
GUILLON BASQUET,12,4,8,0,668,690,-22,16
MONTE GRANDE B NEGRO,11,5,6,0,576,613,-37,16
C.S.D.y C. Moreno,12,4,8,0,628,758,-130,16
DEFENSORES DE GLEW,12,4,8,0,619,758,-139,16
JUVENTUD UNIDA,12,3,9,0,608,717,-109,15
CLUB ATLETICO BERNAL,11,4,7,0,501,633,-132,15
MUNICIPALIDAD DE AVELLANEDA,13,2,11,0,556,1025,-469,15
CLUB EL FOGON,12,2,10,0,640,724,-84,14
VILLA ESPA�A,11,3,8,0,593,754,-161,14
COUNTRY BANFIELD B,12,2,10,0,531,887,-356,14
ARGENTINO DE QUILMES,12,2,10,0,339,1081,-742,14
TALLERES,14,0,14,0,409,1209,-800,14
COLON FC,13,1,11,1,361,1011,-650,13
LUZ Y ARTE,13,0,13,0,302,1312,-1010,13
COOPERARIOS,11,1,10,0,519,817,-298,12
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,12,0,12,0,292,874,-582,12
"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",11,0,11,0,431,809,-378,11
TAPONAZO  FUTBOL CLUB,11,0,11,0,449,858,-409,11
LA UNION,11,0,11,0,283,839,-556,11
