EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,14,14,0,0,1457,400,1057,28
BOCA JUNIORS A,13,13,0,0,1785,462,1323,26
TEMPERLEY,14,12,2,0,1080,617,463,26
LANUS A,13,11,2,0,1166,512,654,24
SPORTIVO ALSINA,14,10,4,0,1180,872,308,24
DEFENSORES DE BANFIELD,14,10,4,0,825,682,143,24
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",12,11,1,0,1310,400,910,23
BOCA JUNIORS AMARILLO,12,11,1,0,920,480,440,23
LOBOS ATHLETIC CLUB,12,11,1,0,889,569,320,23
VARELA JRS,12,10,2,0,1191,497,694,22
QUILMES A.C.,11,11,0,0,986,461,525,22
TRISTAN SUAREZ,11,11,0,0,727,332,395,22
COUNTRY BANFIELD A,14,8,6,0,786,967,-181,22
BERAZATEGUI,12,9,3,0,1128,480,648,21
LANUS B,11,10,1,0,963,410,553,21
MONTE GRANDE A  ROJO,12,10,1,1,936,474,462,21
BURZACO FC AZUL A,11,10,1,0,969,575,394,21
JUVENTUD UNIDA,12,8,4,0,842,580,262,20
RACING CLUB,12,9,2,1,673,547,126,20
VILLEGAS BASQUET,13,7,6,0,832,936,-104,20
LOS ANDES,14,6,8,0,720,920,-200,20
"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",11,8,3,0,673,455,218,19
C.S.D.y C. Moreno,12,7,5,0,716,710,6,19
MUNICIPALIDAD DE AVELLANEDA,13,6,7,0,761,1065,-304,19
TAPONAZO  FUTBOL CLUB,11,7,4,0,683,642,41,18
CLUB SOCIAL ALEJANDRO KORN,12,5,7,0,761,738,23,17
BURZACO FC ROJO B,12,5,7,0,694,681,13,17
CLUB EL FOGON,12,5,7,0,550,763,-213,17
OLIMPO,13,4,9,0,642,909,-267,17
WILDE SPORTING,11,5,6,0,629,549,80,16
CLUB ATLETICO BERNAL,11,5,6,0,591,668,-77,16
GUILLON BASQUET,12,4,8,0,590,703,-113,16
CA�UELAS FC,12,4,8,0,556,676,-120,16
VILLA ESPA�A,11,5,6,0,563,755,-192,16
CLUB ATLETICO PAMPERO,14,2,12,0,461,965,-504,16
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,11,4,7,0,533,596,-63,15
INDEPENDIENTE DE BURZACO,12,3,9,0,666,784,-118,15
CLUB SOCIAL EZEIZA,11,4,7,0,506,687,-181,15
COLON FC,13,2,11,0,540,896,-356,15
LA UNION,11,4,7,0,398,853,-455,15
SOCIAL LANUS,13,2,11,0,542,1092,-550,15
INDEPENDIENTE,12,2,10,0,504,815,-311,14
LUZ Y ARTE,13,1,12,0,606,1028,-422,14
ARGENTINO DE QUILMES,12,2,10,0,398,1005,-607,14
TALLERES,14,0,13,1,227,1287,-1060,13
MONTE GRANDE B NEGRO,11,2,8,1,384,654,-270,12
COOPERARIOS,11,1,10,0,492,841,-349,12
DEFENSORES DE GLEW,12,0,12,0,469,916,-447,12
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,12,0,12,0,247,952,-705,12
COUNTRY BANFIELD B,12,0,12,0,253,1144,-891,12
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,12,0,12,0,213,1211,-998,12
