EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
BOCA JUNIORS A,14,14,0,0,1382,585,797,28
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,14,14,0,0,1406,610,796,28
TEMPERLEY,14,11,3,0,1080,741,339,25
BOCA JUNIORS AMARILLO,12,12,0,0,1146,450,696,24
LANUS A,13,11,2,0,1035,610,425,24
CA�UELAS FC,12,12,0,0,937,557,380,24
RACING CLUB,12,12,0,0,940,656,284,24
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",12,11,1,0,1082,576,506,23
SOCIAL LANUS,13,9,4,0,849,860,-11,22
BERAZATEGUI,11,10,1,0,887,596,291,21
CLUB SOCIAL ALEJANDRO KORN,12,9,3,0,815,671,144,21
INDEPENDIENTE,12,9,3,0,822,689,133,21
OLIMPO,14,7,7,0,962,987,-25,21
LUZ Y ARTE,13,8,5,0,846,918,-72,21
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,11,9,2,0,1042,531,511,20
VARELA JRS,12,8,4,0,993,765,228,20
BURZACO FC Azul A,11,10,0,0,702,517,185,20
WILDE SPORTING,12,8,4,0,847,721,126,20
CLUB SOCIAL EZEIZA,12,8,4,0,770,658,112,20
TRISTAN SUAREZ,12,8,4,0,782,689,93,20
LOS ANDES,14,6,8,0,856,1005,-149,20
TALLERES,14,6,8,0,750,930,-180,20
CLUB ATLETICO PAMPERO,14,6,8,0,750,943,-193,20
DEFENSORES DE BANFIELD,14,5,9,0,776,874,-98,19
LANUS B,11,7,4,0,818,562,256,18
MONTE GRANDE A  ROJO,12,6,6,0,839,752,87,18
CLUB ATLETICO BERNAL,12,6,6,0,741,787,-46,18
VILLEGAS BASQUET,13,5,8,0,696,945,-249,18
GUILLON B�SQUET,12,5,7,0,683,677,6,17
QUILMES A.C.,12,5,7,0,684,698,-14,17
"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",11,5,6,0,651,657,-6,16
LOBOS ATHLETIC CLUB,11,5,6,0,644,710,-66,16
COLON FC,13,3,10,0,700,928,-228,16
COUNTRY BANFIELD A,14,2,12,0,748,1143,-395,16
MONTE GRANDE B NEGRO,11,5,5,1,637,672,-35,15
DEFENSORES DE GLEW,12,4,7,0,611,647,-36,15
INDEPENDIENTE DE BURZACO,12,3,9,0,663,739,-76,15
CLUB EL FOGON,11,4,7,0,649,728,-79,15
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,11,4,7,0,644,775,-131,15
JUVENTUD UNIDA,12,3,9,0,649,799,-150,15
LA UNION,11,4,7,0,659,862,-203,15
SPORTIVO ALSINA,14,1,13,0,675,1054,-379,15
TAPONAZO  FUTBOL CLUB,11,4,6,1,629,701,-72,14
VILLA ESPA�A,11,3,8,0,706,857,-151,14
MUNICIPALIDAD DE AVELLANEDA,13,1,12,0,657,1035,-378,14
C.S.D.y C. MORENO,12,1,11,0,655,896,-241,13
COOPERARIOS,12,1,11,0,649,891,-242,13
BURZACO FC ROJO B,12,1,11,0,471,1036,-565,13
COUNTRY BANFIELD B,12,1,11,0,414,1271,-857,13
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,12,0,12,0,504,1032,-528,12
ARGENTINO DE QUILMES,12,0,12,0,527,1067,-540,12
