EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,13,12,1,0,1268,449,819,25
LANUS A,12,12,0,0,1313,383,930,24
LOS ANDES,13,11,2,0,1286,653,633,24
COUNTRY BANFIELD A,13,10,3,0,964,707,257,23
BOCA JUNIORS A,12,10,2,0,1101,414,687,22
QUILMES A.C.,11,11,0,0,1072,418,654,22
VARELA JRS,11,11,0,0,782,393,389,22
OLIMPO,12,9,3,0,950,590,360,21
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",12,9,3,0,850,587,263,21
CLUB ATLETICO PAMPERO,13,8,5,0,826,743,83,21
BURZACO FC AZUL A,11,9,1,0,1092,503,589,19
MONTE GRANDE A  ROJO,10,9,1,0,901,381,520,19
INDEPENDIENTE DE BURZACO,10,9,1,0,917,615,302,19
ARGENTINO DE QUILMES,11,8,3,0,562,454,108,19
VILLEGAS BASQUET,12,7,5,0,711,747,-36,19
BOCA JUNIORS AMARILLO,10,8,2,0,745,293,452,18
DEFENSORES DE GLEW,10,8,2,0,916,490,426,18
TRISTAN SUAREZ,10,8,2,0,778,440,338,18
JUVENTUD UNIDA,10,7,3,0,697,464,233,17
CLUB ATLETICO BERNAL,10,7,3,0,624,554,70,17
SOCIAL LANUS,12,5,7,0,614,781,-167,17
TEMPERLEY,13,4,9,0,670,865,-195,17
WILDE SPORTING,10,6,4,0,866,521,345,16
COOPERARIOS,9,7,2,0,734,483,251,16
CLUB SOCIAL ALEJANDRO KORN,11,5,6,0,666,597,69,16
LOBOS ATHLETIC CLUB,12,4,8,0,825,781,44,16
BERAZATEGUI,11,5,6,0,528,646,-118,16
LUZ Y ARTE,12,4,8,0,636,869,-233,16
MUNICIPALIDAD DE AVELLANEDA,12,4,8,0,561,834,-273,16
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,8,7,1,0,515,249,266,15
CA�UELAS FC,10,5,5,0,572,581,-9,15
CLUB SOCIAL EZEIZA,10,5,5,0,514,531,-17,15
TALLERES,13,2,11,0,393,942,-549,15
COLON FC,12,2,10,0,376,905,-529,14
LANUS B,8,5,3,0,482,278,204,13
GUILLON BASQUET,11,2,9,0,378,863,-485,13
DEFENSORES DE BANFIELD,13,0,13,0,284,1119,-835,13
SPORTIVO ALSINA,13,0,13,0,292,1244,-952,13
VILLA ESPA�A,10,2,7,0,360,520,-160,12
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,11,1,10,0,388,630,-242,12
CLUB EL FOGON,11,1,10,0,245,1005,-760,12
INDEPENDIENTE ROJO,10,2,7,0,440,588,-148,11
LA UNION,10,1,8,0,322,562,-240,11
COUNTRY BANFIELD B,9,2,7,0,146,640,-494,11
C.S.D.y C. Moreno,10,1,9,0,391,961,-570,11
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,11,0,11,0,283,863,-580,11
TAPONAZO  FUTBOL CLUB,11,1,9,0,261,931,-670,11
MONTE GRANDE B NEGRO,8,2,6,0,254,464,-210,10
RACING CLUB,10,0,9,0,147,749,-602,9
BURZACO FC ROJO B,7,1,6,0,157,375,-218,8
