EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,13,13,0,0,1149,353,796,26
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",12,12,0,0,1207,326,881,24
LANUS A,12,11,1,0,908,409,499,23
TEMPERLEY,13,10,3,0,911,513,398,23
CLUB SOCIAL ALEJANDRO KORN,11,11,0,0,936,312,624,22
BOCA JUNIORS AMARILLO,11,11,0,0,605,226,379,22
OLIMPO,12,10,2,0,860,482,378,22
COUNTRY BANFIELD A,13,9,4,0,793,537,256,22
QUILMES A.C.,11,10,1,0,783,380,403,21
WILDE SPORTING,11,10,1,0,653,412,241,21
MONTE GRANDE A  ROJO,10,10,0,0,816,370,446,20
VARELA JRS,11,9,2,0,697,447,250,20
BOCA JUNIORS A,12,9,1,2,777,444,333,19
CA�UELAS FC,11,8,3,0,701,473,228,19
VILLEGAS BASQUET,12,7,5,0,772,603,169,19
TRISTAN SUAREZ,10,8,2,0,736,383,353,18
INDEPENDIENTE ROJO,11,7,4,0,601,490,111,18
BERAZATEGUI,11,7,4,0,586,566,20,18
LUZ Y ARTE,12,6,6,0,619,701,-82,18
CLUB ATLETICO PAMPERO,13,5,8,0,541,669,-128,18
LOS ANDES,13,5,8,0,534,747,-213,18
LANUS B,10,8,1,1,511,255,256,17
SOCIAL LANUS,12,5,7,0,429,669,-240,17
BURZACO FC Azul A,10,7,2,0,661,363,298,16
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,11,5,6,0,311,325,-14,16
LOBOS ATHLETIC CLUB,12,4,8,0,588,661,-73,16
DEFENSORES DE BANFIELD,13,3,10,0,414,799,-385,16
TALLERES,13,3,10,0,317,836,-519,16
CLUB ATLETICO BERNAL,10,5,5,0,493,465,28,15
CLUB SOCIAL EZEIZA,10,5,5,0,447,548,-101,15
MONTE GRANDE B NEGRO,9,5,4,0,423,342,81,14
DEFENSORES DE GLEW,9,5,4,0,373,376,-3,14
COOPERARIOS,10,4,6,0,477,525,-48,14
INDEPENDIENTE DE BURZACO,9,5,4,0,416,484,-68,14
GUILLON BASQUET,11,3,8,0,418,772,-354,14
SPORTIVO ALSINA,13,1,12,0,403,965,-562,14
JUVENTUD UNIDA,11,2,9,0,430,732,-302,13
"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",9,4,4,1,349,365,-16,12
MUNICIPALIDAD DE AVELLANEDA,12,3,6,3,555,613,-58,12
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,11,1,10,0,390,660,-270,12
BURZACO FC ROJO B,11,2,8,1,268,557,-289,12
VILLA ESPA�A,10,2,8,0,347,643,-296,12
LA UNION,9,3,6,0,261,557,-296,12
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,10,3,6,1,330,653,-323,12
COUNTRY BANFIELD B,11,1,10,0,191,588,-397,12
COLON FC,12,0,12,0,236,878,-642,12
RACING CLUB,10,1,9,0,364,663,-299,11
C.S.D.y C. Moreno,11,0,11,0,319,755,-436,11
CLUB EL FOGON,10,1,9,0,189,812,-623,11
ARGENTINO DE QUILMES,11,1,8,2,337,573,-236,10
TAPONAZO  FUTBOL CLUB,7,0,4,2,145,300,-155,4
