EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,13,13,0,0,650,314,336,26
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",12,11,1,0,324,161,163,23
COUNTRY BANFIELD A,13,9,3,0,431,296,135,22
BOCA JUNIORS A,12,9,2,0,472,212,260,20
DEFENSORES DE GLEW,10,10,0,0,328,135,193,20
DEFENSORES DE BANFIELD,13,7,6,0,326,249,77,20
CLUB ATLETICO PAMPERO,13,8,3,0,307,258,49,20
CLUB SOCIAL EZEIZA,10,9,1,0,394,166,228,19
MONTE GRANDE A  ROJO,10,9,1,0,456,256,200,19
INDEPENDIENTE ROJO,10,9,1,0,292,140,152,19
MUNICIPALIDAD DE AVELLANEDA,12,8,3,1,400,276,124,19
WILDE SPORTING,11,8,3,0,356,282,74,19
QUILMES A.C.,11,8,2,1,496,245,251,18
LANUS A,12,7,4,0,390,242,148,18
ARGENTINO DE QUILMES,11,7,3,0,238,158,80,18
BURZACO FC Azul A,10,8,1,0,386,170,216,17
CA�UELAS FC,10,7,3,0,424,263,161,17
CLUB SOCIAL ALEJANDRO KORN,11,6,5,0,368,257,111,17
BERAZATEGUI,11,6,5,0,339,241,98,17
CLUB ATLETICO BERNAL,10,6,4,0,346,246,100,16
SOCIAL LANUS,12,5,6,0,364,336,28,16
VILLEGAS BASQUET,12,6,4,0,308,288,20,16
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,11,5,5,0,192,268,-76,16
COLON FC,12,5,6,0,256,346,-90,16
LOS ANDES,13,3,9,0,322,470,-148,16
GUILLON BASQUET,11,4,7,0,340,356,-16,15
BOCA JUNIORS AMARILLO,8,7,0,0,186,46,140,14
CLUB EL FOGON,11,4,6,0,305,330,-25,14
VARELA JRS,11,3,8,0,251,289,-38,14
VILLA ESPA�A,10,4,6,0,220,293,-73,14
COOPERARIOS,10,4,6,0,230,309,-79,14
LUZ Y ARTE,12,2,9,0,242,361,-119,14
TEMPERLEY,13,1,12,0,214,454,-240,14
OLIMPO,12,4,5,0,338,270,68,13
TRISTAN SUAREZ,10,3,7,0,219,332,-113,13
JUVENTUD UNIDA,10,3,7,0,200,366,-166,13
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,11,1,10,0,148,442,-294,12
INDEPENDIENTE DE BURZACO,9,3,5,0,170,240,-70,11
LOBOS ATHLETIC CLUB,12,2,7,0,148,260,-112,11
LA UNION,10,1,9,0,158,312,-154,11
C.S.D.y C. Moreno,11,1,9,1,144,429,-285,11
RACING CLUB,11,1,8,2,76,289,-213,10
SPORTIVO ALSINA,13,0,10,0,84,642,-558,10
LANUS B,6,4,1,0,130,46,84,9
BURZACO FC ROJO B,6,3,2,0,132,114,18,9
TAPONAZO  FUTBOL CLUB,11,0,9,0,67,380,-313,9
COUNTRY BANFIELD B,7,1,5,0,74,168,-94,8
TALLERES,13,1,5,0,74,164,-90,7
MONTE GRANDE B NEGRO,7,0,7,0,50,198,-148,7
