EQUIPO,PJ,PG,PP,NP,PF,PC,puntos,DP
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA,67,41,0,0,5847,2006,108.0,3841
TEMPERLEY,67,33,8,0,3999,3065,100.0,934
LANUS A,63,34,5,0,4943,2109,96.0,2834
"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",60,35,1,0,4957,1898,95.0,3059
BOCA JUNIORS A,62,35,1,2,5557,1868,94.0,3689
DEFENSORES DE BANFIELD,67,23,18,0,2835,3489,90.0,-654
COUNTRY BANFIELD A,67,22,19,0,3714,3326,89.0,388
QUILMES A.C.,56,32,2,1,4268,2152,87.0,2116
LOS ANDES,67,20,21,0,3823,3503,87.0,320
BOCA JUNIORS AMARILLO,53,34,1,0,3535,1555,86.0,1980
VARELA JRS,57,28,7,0,3961,2215,85.0,1746
BERAZATEGUI,57,25,10,0,3450,2486,82.0,964
LOBOS ATHLETIC CLUB,60,25,11,0,3210,2900,82.0,310
MONTE GRANDE A  ROJO,54,28,5,1,3889,2097,81.0,1792
TRISTAN SUAREZ,52,29,3,0,3152,1960,81.0,1192
CLUB SOCIAL ALEJANDRO KORN,57,24,11,0,3476,2548,81.0,928
VILLEGAS BASQUET,62,21,17,0,3362,3348,81.0,14
SPORTIVO ALSINA,67,16,25,0,2657,4673,80.0,-2016
OLIMPO,62,20,18,0,3515,3047,79.0,468
CLUB ATLETICO PAMPERO,67,12,29,0,2829,3525,78.0,-696
SOCIAL LANUS,63,16,23,0,2749,3740,78.0,-991
CA�UELAS FC,55,22,13,0,3070,2626,77.0,444
WILDE SPORTING,55,21,13,0,3304,2548,76.0,756
LANUS B,46,26,5,1,2875,1541,70.0,1334
RACING CLUB,55,20,12,4,2126,2796,70.0,-670
MUNICIPALIDAD DE AVELLANEDA,62,11,24,4,2833,3813,69.0,-980
LUZ Y ARTE,62,7,31,0,2405,4271,69.0,-1866
JUVENTUD UNIDA,55,13,22,0,2777,2859,68.0,-82
GUILLON BASQUET,57,11,24,0,2394,3384,68.0,-990
INDEPENDIENTE DE BURZACO,52,16,17,0,2989,2776,67.0,213
CLUB SOCIAL EZEIZA,52,15,17,0,2589,2514,67.0,75
CLUB ATLETICO BERNAL,52,14,18,0,2555,2566,66.0,-11
C.S.D.y C. Moreno,56,11,24,1,2198,3613,66.0,-1415
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,56,9,24,1,1746,3535,64.0,-1789
CLUB EL FOGON,56,8,26,0,1929,3634,63.0,-1705
COLON FC,62,3,34,1,1769,4036,63.0,-2267
DEFENSORES DE GLEW,53,9,24,0,2705,2675,62.0,30
VILLA ESPA�A,52,10,22,0,2083,2965,62.0,-882
TALLERES,67,3,37,1,1420,4438,62.0,-3018
ARGENTINO DE QUILMES,57,5,28,2,1874,3271,60.0,-1397
BURZACO FC ROJO B,48,12,22,1,1830,2563,59.0,-733
GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,41,17,16,0,2148,1737,58.0,411
LA UNION,51,7,24,0,1422,3123,58.0,-1701
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,57,1,34,0,1360,3791,58.0,-2431
COOPERARIOS,51,6,26,0,2452,2975,57.0,-523
MONTE GRANDE B NEGRO,46,12,18,1,1687,2271,57.0,-584
INDEPENDIENTE ROJO,43,12,11,0,2033,1975,54.0,58
COUNTRY BANFIELD B,51,3,32,0,1195,3427,54.0,-2232
TAPONAZO  FUTBOL CLUB,51,7,19,2,1605,3111,52.0,-1506
"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",31,12,18,1,1453,1629,42.0,-176
BURZACO FC AZUL A,22,10,1,0,2061,1078,31.0,983
BURZACO FC Azul A,20,7,2,0,1047,533,25.0,514
BURZACO FC- AZUL A,11,9,2,0,717,484,20.0,233
INDEPENDIENTE,12,2,10,0,504,815,14.0,-311
