anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,valido
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,1.0,30/6/2019,A.F.A.L.P. A,63.0,BOCA JUNIORS AZUL,72.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,1.0,30/6/2019,RIVER PLATE,66.0,VELEZ SARSFIELD BLANCO,57.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,2.0,7/7/2019,BOCA JUNIORS AZUL,82.0,RIVER PLATE,72.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,2.0,7/7/2019,VELEZ SARSFIELD BLANCO,82.0,A.F.A.L.P. A,66.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,3.0,14/7/2019,A.F.A.L.P. A,54.0,RIVER PLATE,52.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,4.0,21/7/2019,BOCA JUNIORS AZUL,77.0,A.F.A.L.P. A,65.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,4.0,21/7/2019,VELEZ SARSFIELD BLANCO,51.0,RIVER PLATE,57.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,5.0,28/7/2019,RIVER PLATE,57.0,BOCA JUNIORS AZUL,73.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,5.0,28/7/2019,A.F.A.L.P. A,67.0,VELEZ SARSFIELD BLANCO,48.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,6.0,4/8/2019,BOCA JUNIORS AZUL,60.0,VELEZ SARSFIELD BLANCO,51.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,6.0,4/8/2019,RIVER PLATE,82.0,A.F.A.L.P. A,71.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,1.0,30/6/2019,HURACAN DE SAN JUSTO ROJO,53.0,LANUS A,70.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,1.0,30/6/2019,CIUDAD DE BUENOS AIRES A,66.0,FERROCARRIL OESTE A,74.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,2.0,7/7/2019,LANUS A,94.0,CIUDAD DE BUENOS AIRES A,44.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,2.0,7/7/2019,FERROCARRIL OESTE A,89.0,HURACAN DE SAN JUSTO ROJO,49.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,3.0,14/7/2019,FERROCARRIL OESTE A,67.0,LANUS A,77.0,False
2019.0,JUVENILES,Desconocida,Desconocida,Desconocido,Desconocida,Desconocido,3.0,14/7/2019,HURACAN DE SAN JUSTO ROJO,42.0,CIUDAD DE BUENOS AIRES A,71.0,False
