anio,ronda,nivel,zona,grupo,cantidad_tiras,equipos
2019.0,1ra Fase,1,CENTRO,A,6,"ARQUITECTURA NEGRO, FERROCARRIL OESTE A, IMPERIO BLANCO, PEDRO ECHAGUE AZUL, PINOCHO BLANCO, SAN LORENZO AZUL"
2019.0,2da Fase,1,CENTRO,A,8,"COPELLO, DEPORTIVO CROVARA  ""A"", GEVP CELESTE, IMPERIO BLANCO, ITALIANO, JOSE HERNANDEZ A, SAN LORENZO AZUL, VILLA MITRE"
2019.0,1ra Fase,1,CENTRO,B,6,"COLEGIALES BLANCO, DEPORTIVO CROVARA  ""A"", GEVP BLANCO, OBRAS CENTRO, VELEZ SARSFIELD BLANCO, VILLA MITRE"
2019.0,2da Fase,1,CENTRO,B,8,"APV, ARQUITECTURA NEGRO, COLEGIALES BLANCO, COMUNICACIONES, GEBA, MACABI, PINOCHO BLANCO, VELEZ SARSFIELD BLANCO"
2019.0,1ra Fase,2,CENTRO,A,6,"ARMENIA, COMUNICACIONES, ITALIANO, JOSE HERNANDEZ A, MACABI, PEDRO ECHAGUE AMARILLO"
2019.0,2da Fase,2,CENTRO,A,8,"ARGENTINOS JUNIORS, ARMENIA, CIUDAD DE BUENOS AIRES B, DEPORTIVO CROVARA B, EL TALAR, ITALIANO B, NUEVA CHICAGO, PEDRO ECHAGUE AMARILLO"
2019.0,1ra Fase,2,CENTRO,B,6,"ALL BOYS BLANCO, APV, COPELLO, FERROCARRIL OESTE B, GEBA, GEVP CELESTE"
2019.0,2da Fase,2,CENTRO,B,8,"ALL BOYS BLANCO, COLEGIALES NEGRO, FERROCARRIL OESTE C, IMPERIO NEGRO, NAUTICO BUCHARDO B, SCHOLEM ALEIJEM, U.A.I. URQUIZA, VILLA SAHORES"
2019.0,2da Fase,2,CENTRO,C,7,"17 DE AGOSTO, FERROCARRIL OESTE B, INSTITUCION SARMIENTO BLANCO, JOSE HERNANDEZ B, PINOCHO VERDE, SAN LORENZO ROJO, YUPANQUI"
2019.0,1ra Fase,3,CENTRO,A,6,"IMPERIO NEGRO, INSTITUCION SARMIENTO BLANCO, ITALIANO B, JOSE HERNANDEZ B, PINOCHO VERDE, U.A.I. URQUIZA"
2019.0,1ra Fase,3,CENTRO,B,6,"17 DE AGOSTO, CIUDAD DE BUENOS AIRES B, EL TALAR, FERROCARRIL OESTE C, SCHOLEM ALEIJEM, VILLA SAHORES"
2019.0,1ra Fase,3,CENTRO,C,6,"ARGENTINOS JUNIORS, COLEGIALES NEGRO, DEPORTIVO CROVARA B, NUEVA CHICAGO, SAN LORENZO ROJO, YUPANQUI"
2019.0,3ra Fase,3,CENTRO,UNICO,6,"17 DE AGOSTO, BANCO PROVINCIA, FLORIDA CLUB, GEVP BLANCO, GEVP CELESTE, SCHOLEM ALEIJEM"
2019.0,2da Fase,INTERCONFERENCIA,INTERCONFERENCIA,A,8,"CIUDAD DE BUENOS AIRES A, FERROCARRIL OESTE A, HURACAN DE SAN JUSTO ROJO, INDEPENDIENTE, LANUS A, LOS INDIOS DE MORENO NEGRO, OBRAS CENTRO, RIVER PLATE"
2019.0,2da Fase,INTERCONFERENCIA,INTERCONFERENCIA,B,8,"A.F.A.L.P. A, BOCA JUNIORS AZUL, G.E DE LOMAS DE ZAMORA A, GEVP BLANCO, MORON A, OBRAS NORTE, PEDRO ECHAGUE AZUL, U.V.V.ADELINA"
2019.0,1ra Fase,1,NORTE,A,6,"BANCO NACIÓN, CAZA Y PESCA A, CLUB TRES DE FEBRERO BLANCO, RIVER PLATE, SAN FERNANDO AZUL, U.V.V.ADELINA"
2019.0,2da Fase,1,NORTE,A,8,"CLUB TRES DE FEBRERO BLANCO, DEPORTIVO SAN ANDRES, PLATENSE MARRON, SAN FERNANDO AZUL, SOCIAL BECCAR, SPORTIVO VILLA BALLESTER, UNION VECINAL DE MUNRO, VICTORIA"
2019.0,1ra Fase,1,NORTE,B,6,"ATLETICO BOULOGNE, CIUDAD DE BUENOS AIRES A, DEPORTIVO SAN ANDRES, NAUTICO HACOAJ BLANCO, OBRAS NORTE, UNION VECINAL DE MUNRO"
2019.0,2da Fase,1,NORTE,B,8,"ATLETICO BOULOGNE, BANCO NACIÓN, CAZA Y PESCA A, CENTRO GALICIA, HARRODS GATH Y CHAVES, LAS HERAS A, NAUTICO HACOAJ BLANCO, UNION FLORIDA"
2019.0,1ra Fase,2,NORTE,A,6,"BANCO PROVINCIA, HARRODS GATH Y CHAVES, HEBRAICA, LAS HERAS A, PLATENSE MARRON, SOCIAL BECCAR"
2019.0,2da Fase,2,NORTE,A,8,"CAZA Y PESCA B, CLUB 12 DE OCTUBRE, FLORIDA CLUB, HEBRAICA, LAS HERAS B, NAUTICO BUCHARDO A, SAN FERNANDO BLANCO, UNIVERSIDAD DE BUENOS AIRES"
2019.0,1ra Fase,2,NORTE,B,6,"BANADE, CENTRO GALICIA, NAUTICO BUCHARDO A, SPORTIVO VILLA BALLESTER, UNION FLORIDA, VICTORIA"
2019.0,2da Fase,2,NORTE,B,8,"BANADE, BANCO PROVINCIA, CIRCULO URQUIZA, CLUB TRES DE FEBRERO AZUL, COOPERATIVA TORTUGUITAS, NAUTICO HACOAJ AZUL, PLATENSE BLANCO, TELEFONOS"
2019.0,1ra Fase,3,NORTE,A,6,"CIRCULO URQUIZA, CLUB 12 DE OCTUBRE, COOPERATIVA TORTUGUITAS, LAS HERAS B, TELEFONOS, UNIVERSIDAD DE BUENOS AIRES"
2019.0,1ra Fase,3,NORTE,B,6,"CAZA Y PESCA B, CLUB TRES DE FEBRERO AZUL, FLORIDA CLUB, NAUTICO HACOAJ AZUL, PLATENSE BLANCO, SAN FERNANDO BLANCO"
2019.0,1ra Fase,1,OESTE,A,6,"A.F.A.L.P. A, ESTUDIANTIL PORTEÑO A, INSTITUCION SARMIENTO VERDE, LOS INDIOS DE MORENO NEGRO, NOLTING, RAMOS MEJIA LTC"
2019.0,2da Fase,1,OESTE,A,8,"ARGENTINO DE CASTELAR NORTE, ESTUDIANTIL PORTEÑO A, INSTITUCION SARMIENTO VERDE, LEANDRO N ALEM, LOS INDIOS DE MORENO BLANCO, MIDLAND, SAN MIGUEL, UNLAM A"
2019.0,1ra Fase,1,OESTE,B,6,"ARGENTINO DE CASTELAR NORTE, C.A.S.A PADUA A, Club GEI AZUL, HURACAN DE SAN JUSTO ROJO, MORON A, SAN MIGUEL"
2019.0,2da Fase,1,OESTE,B,8,"C.A.S.A PADUA A, CLARIDAD, Club GEI AZUL, DEFENSORES DE HURLINGHAM VERDE, ESTUDIANTIL PORTEÑO B, NOLTING, RAMOS MEJIA LTC, UNITARIOS DE MARCOS PAZ"
2019.0,1ra Fase,2,OESTE,A,6,"CEDEM, CLARIDAD, DEFENSORES DE HURLINGHAM VERDE, DEP. MORON BLANCO, ESTUDIANTIL PORTEÑO B, UNLAM A"
2019.0,2da Fase,2,OESTE,A,8,"ALTE. BROWN, ARGENTINO DE CASTELAR CENTRO, C.A.S.A PADUA B, Club GEI BLANCO, DEP. MORON BLANCO, ITALIANO DE JOSE C PAZ, MORON B, RAMOS MEJIA LTC B"
2019.0,1ra Fase,2,OESTE,B,6,"C.A.S.A PADUA B, EL PALOMAR, LEANDRO N ALEM, LOS INDIOS DE MORENO BLANCO, MIDLAND, UNITARIOS DE MARCOS PAZ"
2019.0,2da Fase,2,OESTE,B,7,"ALTUBE, CEDEM, CENTRO ESPAÑOL, DEFENSORES DE SANTOS LUGARES, EL PALOMAR, HURACAN DE SAN JUSTO BLANCO, SITAS"
